county_fips,nfip_repetitive_loss,nfip_severe_repetitive_loss,nfip_total_properties,nfip_total_losses,nfip_mean_losses_per_property,nfip_mitigated_pct,nfip_insured_pct,nfip_most_recent_loss_year
12081,651,144,694,2281,3.286743515850144,0.040345821325648415,0.5417867435158501,2024
12083,17,3,18,46,2.5555555555555554,0.0,0.5,2024
12085,195,9,205,506,2.4682926829268292,0.02926829268292683,0.43414634146341463,2024
12086,2365,279,2473,6931,2.802668823291549,0.09017387788111605,0.5495349777598059,2025
12087,1036,119,1250,3348,2.6784,0.0264,0.52,2025
12089,50,4,51,134,2.627450980392157,0.0196078431372549,0.5686274509803921,2024
12091,924,97,959,2362,2.462982273201251,0.029197080291970802,0.5766423357664233,2024
12093,19,0,19,44,2.3157894736842106,0.0,0.2631578947368421,2012
12095,74,3,75,185,2.466666666666667,0.013333333333333334,0.68,2024
12097,52,1,56,121,2.1607142857142856,0.0,0.7321428571428571,2024
12099,324,23,339,912,2.690265486725664,0.035398230088495575,0.41887905604719766,2025
12101,1323,377,1371,4228,3.083880379285193,0.021152443471918306,0.6170678336980306,2024
12103,3069,1158,3288,11966,3.639294403892944,0.03345498783454988,0.6280413625304136,2024
12105,103,10,107,267,2.4953271028037385,0.018691588785046728,0.6915887850467289,2025
12107,74,4,75,200,2.6666666666666665,0.013333333333333334,0.6533333333333333,2025
12109,1174,142,1190,3011,2.530252100840336,0.012605042016806723,0.7218487394957983,2025
12111,298,17,313,766,2.4472843450479234,0.03194888178913738,0.5239616613418531,2024
12113,882,100,1060,2893,2.729245283018868,0.1349056603773585,0.6311320754716981,2024
12115,1228,136,1271,3332,2.6215578284815106,0.03225806451612903,0.7395751376868608,2025
12117,128,10,131,325,2.480916030534351,0.015267175572519083,0.6946564885496184,2025
12119,3,1,3,6,2.0,0.0,0.0,2005
12121,31,6,31,94,3.032258064516129,0.0,0.25806451612903225,2024
12123,86,20,88,245,2.784090909090909,0.022727272727272728,0.36363636363636365,2024
12125,2,1,2,8,4.0,0.0,0.5,2024
12127,1605,200,1652,4218,2.553268765133172,0.0211864406779661,0.8250605326876513,2025
12129,122,24,160,491,3.06875,0.1,0.38125,2024
12131,287,34,298,777,2.6073825503355703,0.013422818791946308,0.37583892617449666,2024
12133,13,2,13,34,2.6153846153846154,0.0,0.23076923076923078,2021
13001,2,0,2,5,2.5,0.0,1.0,2024
13007,4,1,4,12,3.0,0.0,0.0,2020
13009,1,0,1,2,2.0,0.0,0.0,2021
13013,1,0,1,2,2.0,0.0,0.0,2018
13015,5,0,5,12,2.4,0.0,0.0,2025
13017,1,0,1,6,6.0,0.0,0.0,2003
13019,1,0,1,2,2.0,0.0,1.0,2024
13021,14,3,14,40,2.857142857142857,0.0,0.5,2025
13027,3,0,3,6,2.0,0.0,1.0,2023
13029,7,0,7,16,2.2857142857142856,0.0,0.2857142857142857,2024
13031,13,1,14,38,2.7142857142857144,0.0,0.7142857142857143,2024
13035,5,1,5,10,2.0,0.0,0.6,2024
