"Row,Issuer_Name,Issue_Date,lead_CUSIP,emma_security_details_url,prospectus_url"
"82,City & County of San Francisco CA Community Facilities District No 2014-1,2021-11-03,79772EDP1,https://emma.msrb.org/Security/Details/79772EDP1,https://emma.msrb.org/P21502980-P21162007-P21576850.pdf"
"83,San Francisco City & County Public Utilities Commission Wastewater Revenue,2021-11-30,79768HFN3,https://emma.msrb.org/Security/Details/79768HFN3,https://emma.msrb.org/P21519443-P21175017-P21591296.pdf"
"84,Woodland Finance Authority,2021-12-16,97951QBB2,https://emma.msrb.org/Security/Details/97951QBB2,https://emma.msrb.org/P21520298-P21175673-P21592007.pdf"
"85,City of Bloomington IN,2021-12-21,094615AA9,https://emma.msrb.org/Security/Details/094615AA9,https://emma.msrb.org/P11550123-P11196959-P11615014.pdf"
"86,City of Bloomington IN Sewage Works Revenue,2021-12-21,094725ML9,https://emma.msrb.org/Security/Details/094725ML9,https://emma.msrb.org/P21520597-P21175877-P21592245.pdf"
"87,San Francisco City & County Public Utilities Commission Power Revenue,2021-12-21,79771KAZ9,https://emma.msrb.org/Security/Details/79771KAZ9,https://emma.msrb.org/P21525393-P21179406-P21596352.pdf"
"88,City of Yuma AZ Water & Sewer Revenue,2021-12-28,988522AA6,https://emma.msrb.org/Security/Details/988522AA6,https://emma.msrb.org/P31433916-P31114116-P31525247.pdf"
"89,Louisville and Jefferson County Metropolitan Sewer District,2022-02-01,5465892G6,https://emma.msrb.org/Security/Details/5465892G6,NO OS SUBMITTED"
"90,Louisville and Jefferson County Metropolitan Sewer District,2022-02-01,5465892G6,https://emma.msrb.org/Security/Details/5465892G6,https://emma.msrb.org/P21536543-P21187636-P21605628.pdf,OS found via sibling CUSIP 546589T28"
"91,District of Columbia Water & Sewer Authority,2022-03-23,254845RT9,https://emma.msrb.org/Security/Details/254845RT9,https://emma.msrb.org/P21554235-P21200604-P21620362.pdf"
"92,Indianapolis Local Public Improvement Bond Bank,2022-03-31,45527CBU5,https://emma.msrb.org/Security/Details/45527CBU5,https://emma.msrb.org/P11689191-P11216480-P11637253.pdf"
"93,City of Portland OR Water System Revenue,2022-04-07,736754SE3,https://emma.msrb.org/Security/Details/736754SE3,https://emma.msrb.org/P21565303-P21209256-P21630047.pdf"
"94,City of Los Angeles CA Wastewater System Revenue,2022-04-19,53945CKV1,https://emma.msrb.org/Security/Details/53945CKV1,https://emma.msrb.org/P11591429-P11228081-P11650034.pdf"
"95,City of Decatur IL,2022-04-28,243127XR3,https://emma.msrb.org/Security/Details/243127XR3,https://emma.msrb.org/P21570039-P21212802-P21633963.pdf"
"96,City & County Honolulu HI Wastewater System Revenue,2022-05-25,4387012D5,https://emma.msrb.org/Security/Details/4387012D5,https://emma.msrb.org/P11603229-P11236637-P11659652.pdf"
"97,City of Fort Wayne IN Sewage Works Revenue,2022-05-25,349298SR1,https://emma.msrb.org/Security/Details/349298SR1,https://emma.msrb.org/P11602915-P11236416-P11659389.pdf"
"98,City of Boulder CO Water & Sewer Revenue,2022-06-01,10146HMC7,https://emma.msrb.org/Security/Details/10146HMC7,https://emma.msrb.org/P11604243-P11237326-P11660407.pdf"
"151,City of Los Angeles Department of Airports,2025-03-04,5444452F5,https://emma.msrb.org/Security/Details/5444452F5,https://emma.msrb.org/P11836470-P11407478-P11849595.pdf"
"152,City of Tacoma WA Electric System Revenue,2025-03-07,873519QX3,https://emma.msrb.org/Security/Details/873519QX3,https://emma.msrb.org/P22018038-P11427523-P11871837.pdf"
"153,City of St Paul MN Sewer Revenue,2025-03-31,793071XQ9,https://emma.msrb.org/Security/Details/793071XQ9,https://emma.msrb.org/P21949006-P21488358-P21939864.pdf"
"154,City of Los Angeles Department of Airports,2025-04-03,5444453A5,https://emma.msrb.org/Security/Details/5444453A5,https://emma.msrb.org/P11836470-P11407478-P11849595.pdf"
"155,City of Los Angeles Department of Airports,2025-04-10,5444452X6,https://emma.msrb.org/Security/Details/5444452X6,https://emma.msrb.org/P11836470-P11407478-P11849595.pdf"
"156,City of San Francisco CA Public Utilities Commission Water Revenue,2025-04-11,79771FGB7,https://emma.msrb.org/Security/Details/79771FGB7,https://emma.msrb.org/P11837901-P11408439-P11850619.pdf"
"157,City of Joliet IL Waterworks & Sewerage Revenue,2025-04-12,479790KM8,https://emma.msrb.org/Security/Details/479790KM8,https://emma.msrb.org/P21986556-P21514279-P21968327.pdf"
"158,City of San Francisco CA Public Utilities Commission Water Revenue,2025-04-17,79771FFR3,https://emma.msrb.org/Security/Details/79771FFR3,https://emma.msrb.org/P11837901-P11408439-P11850619.pdf"
"159,City of Los Angeles Department of Airports,2025-04-21,5444456F1,https://emma.msrb.org/Security/Details/5444456F1,https://emma.msrb.org/P31462694-P11410516-P11852986.pdf"
"160,City of Los Angeles Department of Airports,2025-04-22,5444455P0,https://emma.msrb.org/Security/Details/5444455P0,https://emma.msrb.org/P31462694-P11410516-P11852986.pdf"
"161,City of San Francisco CA Public Utilities Commission Water Revenue,2025-04-23,79771FFU6,https://emma.msrb.org/Security/Details/79771FFU6,https://emma.msrb.org/P11837901-P11408439-P11850619.pdf"
"162,City of Los Angeles Department of Airports,2025-04-27,5444452T5,https://emma.msrb.org/Security/Details/5444452T5,https://emma.msrb.org/P11836470-P11407478-P11849595.pdf"
"163,Jersey City Municipal Utilities Authority,2025-04-30,476623DC4,https://emma.msrb.org/Security/Details/476623DC4,https://emma.msrb.org/P11842804-P11411795-P11854392.pdf"
"164,City of Los Angeles Department of Airports,2025-05-29,5444455N5,https://emma.msrb.org/Security/Details/5444455N5,https://emma.msrb.org/P31462694-P11410516-P11852986.pdf"
"165,City of Arvada CO Wastewater Revenue,2025-07-09,043257BQ6,https://emma.msrb.org/Security/Details/043257BQ6,https://emma.msrb.org/P11872315-P11432445-P11877374.pdf"
"166,City of Arvada CO Water Revenue,2025-07-09,043260CL0,https://emma.msrb.org/Security/Details/043260CL0,https://emma.msrb.org/P11872319-P11432449-P11877380.pdf"
"167,City of Atlanta GA Department of Aviation,2025-07-09,04780M2T5,https://emma.msrb.org/Security/Details/04780M2T5,https://emma.msrb.org/P21963220-P21497913-P21950218.pdf"
"168,City of Arvada CO Wastewater Revenue,2025-07-19,043257BT0,https://emma.msrb.org/Security/Details/043257BT0,https://emma.msrb.org/P11872315-P11432445-P11877374.pdf"
"169,City of Arvada CO Water Revenue,2025-07-19,043260BZ0,https://emma.msrb.org/Security/Details/043260BZ0,https://emma.msrb.org/P11872319-P11432449-P11877380.pdf"
"170,City of Atlanta GA Department of Aviation,2025-07-19,04780M3D9,https://emma.msrb.org/Security/Details/04780M3D9,https://emma.msrb.org/P21963220-P21497913-P21950218.pdf"
"171,City & County Honolulu HI Wastewater System Revenue,2025-07-24,4387015B6,https://emma.msrb.org/Security/Details/4387015B6,https://emma.msrb.org/P21964955-P21499218-P21951692.pdf"
"172,City of Atlanta GA Department of Aviation,2025-07-24,04780M2H1,https://emma.msrb.org/Security/Details/04780M2H1,https://emma.msrb.org/P21963220-P21497913-P21950218.pdf"
"173,City of Atlanta GA Department of Aviation,2025-07-25,04780M2G3,https://emma.msrb.org/Security/Details/04780M2G3,https://emma.msrb.org/P21963220-P21497913-P21950218.pdf"
"174,City of Los Angeles Department of Airports,2025-08-03,5444452G3,https://emma.msrb.org/Security/Details/5444452G3,https://emma.msrb.org/P11836470-P11407478-P11849595.pdf"
"175,District of Columbia Water & Sewer Authority,2025-08-13,254845UY4,https://emma.msrb.org/Security/Details/254845UY4,https://emma.msrb.org/P21946866-P21486848-P21938256.pdf"
"176,City of St Paul MN Sewer Revenue,2025-08-19,793071XL0,https://emma.msrb.org/Security/Details/793071XL0,https://emma.msrb.org/P21949006-P21488358-P21939864.pdf"
"177,City of Arvada CO Wastewater Revenue,2025-09-07,043257BG8,https://emma.msrb.org/Security/Details/043257BG8,https://emma.msrb.org/P11872315-P11432445-P11877374.pdf"
"178,City of Arvada CO Water Revenue,2025-09-07,043260BW7,https://emma.msrb.org/Security/Details/043260BW7,https://emma.msrb.org/P11872319-P11432449-P11877380.pdf"
"179,City of Los Angeles Department of Airports,2025-09-22,5444452R9,https://emma.msrb.org/Security/Details/5444452R9,https://emma.msrb.org/P11836470-P11407478-P11849595.pdf"
"180,City & County Honolulu HI Wastewater System Revenue,2025-09-24,4387014W1,https://emma.msrb.org/Security/Details/4387014W1,https://emma.msrb.org/P21964955-P21499218-P21951692.pdf"
"181,City of Atlanta GA Department of Aviation,2025-09-24,04780M2Q1,https://emma.msrb.org/Security/Details/04780M2Q1,https://emma.msrb.org/P21963220-P21497913-P21950218.pdf"
"182,City of Los Angeles Department of Airports,2025-09-25,5444456C8,https://emma.msrb.org/Security/Details/5444456C8,https://emma.msrb.org/P31462694-P11410516-P11852986.pdf"
"183,City of Los Angeles Department of Airports,2025-10-22,5444455Q8,https://emma.msrb.org/Security/Details/5444455Q8,https://emma.msrb.org/P31462694-P11410516-P11852986.pdf"
"184,City of Los Angeles Department of Airports,2025-11-07,5444452Q1,https://emma.msrb.org/Security/Details/5444452Q1,https://emma.msrb.org/P11836470-P11407478-P11849595.pdf"
