ID,Year,Row,CUSIP,Issuer Name,Yield at Issue,Amt Issued,Issue Date,Maturity,Tax Prov,Fin Typ,BICS Level 2,Self-reported Green,Mgmt of Proc,ESG Reporting,ESG Assurance Providers,Proj Sel Proc,ESG Framework,Industry,Industry_Full,Kestrel Total ESG Impact Score,ESG Project Categories,Project Subcategory,Jurisdiction_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,Entity_Type,Service_Function,Independence_Level,Geographic_Scope,State_Abb_Classified,State_Name,Classification_Confidence,Issue_Year,City_Name,County_Name,Is_Municipal,State_Year,City_State_Year,city_fips7,city_geo_name,city_name_crosswalk,city_match_method,panel_year,is_in_578_panel,cusip_duplicate_flag,included,cusip_repaired
2013-748,2014.0,748,849103AP1,City of Spokane WA Water & Wastewater Revenue,2.91,10250000.0,2014-12-02,2028-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-749,2014.0,749,849103AQ9,City of Spokane WA Water & Wastewater Revenue,2.99,10710000.0,2014-12-02,2029-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-750,2014.0,750,849103AV8,City of Spokane WA Water & Wastewater Revenue,3.51,13060000.0,2014-12-02,2034-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-751,2014.0,751,849103AN6,City of Spokane WA Water & Wastewater Revenue,3.15,9935000.0,2014-12-02,2027-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-752,2014.0,752,849103AS5,City of Spokane WA Water & Wastewater Revenue,3.26,11640000.0,2014-12-02,2032-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-753,2014.0,753,849103AT3,City of Spokane WA Water & Wastewater Revenue,3.31,12105000.0,2014-12-02,2032-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-754,2014.0,754,849103AM8,City of Spokane WA Water & Wastewater Revenue,3,9645000.0,2014-12-02,2026-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-781,2014.0,781,52908EXY4,Lexington-Fayette Urban County Government,3.25,2900000.0,2014-12-16,2027-06-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Lexington,City of Lexington,Direct government,General government,INTEGRATED,Single city,KY,Kentucky,HIGH,2014.0,,,True,KY_2014.0,lexington-fayette county_KY_2014,2146027.0,lexington-fayette county,Lexington-Fayette County,manual_correction,2014.0,True,False,1,0
2013-1000,2015.0,1000,87354VAB6,City of Tacoma WA Solid Waste Utility Revenue,1.1,2060000.0,2015-03-18,2018-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,SOLWST,Solid Waste,--,Circular Economy,Circular Design and Production ,CITY,Tacoma WA,City of Tacoma WA,Direct government,Environmental,INTEGRATED,Single city,WA,Washington,HIGH,2015.0,tacoma,,True,WA_2015,tacoma_WA_2015,5370000.0,tacoma,Tacoma,existing_city_name,2015.0,True,False,1,0
2013-1001,2015.0,1001,87354VAD2,City of Tacoma WA Solid Waste Utility Revenue,1.58,2270000.0,2015-03-18,2020-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,SOLWST,Solid Waste,--,Circular Economy,Circular Design and Production ,CITY,Tacoma WA,City of Tacoma WA,Direct government,Environmental,INTEGRATED,Single city,WA,Washington,HIGH,2015.0,tacoma,,True,WA_2015,tacoma_WA_2015,5370000.0,tacoma,Tacoma,existing_city_name,2015.0,True,False,1,0
