Issuer_Name,State_Abb,Jurisdiction_Type,Entity_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,lat,lng,formatted_address,place_id,location_type,geo_source,match_method
Morningstar Ranch Municipal Utility District No 1 of Parker County,TX,SPECIAL_DISTRICT,Special district,Morningstar Ranch (Parker County),Morningstar Ranch (Parker County),32.7499647,-97.6000435,"128 Heather Wind Ln, Aledo, TX 76008, USA",ChIJNT29tE8PToYRJhk_Ubnuvic,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
Mountain House Public Financing Authority,CA,CITY,Financing authority,Mountain House,City of Mountain House,37.7793901,-121.543234,"Mountain House, CA, USA",ChIJcY5QEcwekIARx1VVxdn7pg4,APPROXIMATE,GoogleGeocodingAPI,EXACT_ISSUER
Mountaintop Area Joint Sanitary Authority,PA,MULTI_JURISDICTIONAL,Authority/Agency,Mountaintop Area,Mountaintop Area,41.1148399,-75.9598075,"290 Morio Dr, Mountain Top, PA 18707, USA",ChIJGRZ-KBgJxYkRdnl72JXIltE,ROOFTOP,GoogleGeocodingAPI,EXACT_ISSUER
Murray Independent School District Finance Corp,KY,SCHOOL_DISTRICT,School district,Murray,Murray,36.6029858,-88.3190717,"Murray Independent School District, KY 42071, USA",ChIJnXEri61SeogRZdoSPeUxIf4,APPROXIMATE,GoogleGeocodingAPI,FUZZY_ISSUER
Nebraska Utilities Corp,NE,STATE,Financing authority,Nebraska,State of Nebraska,40.8079243,-96.6997142,"1445 K St, Lincoln, NE 68508, USA",ChIJEZQDF_m-locRmpgAh227SJo,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
New Hampshire Business Finance Authority,NH,STATE,Financing authority,New Hampshire,State of New Hampshire,43.2069126,-71.5380717,"107 N Main St, Concord, NH 03301, USA",ChIJz1KMm24T4okR2vP7vswQBhA,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
New Jersey Economic Development Authority,NJ,STATE,Financing authority,New Jersey,State of New Jersey,40.22022940000001,-74.7703719,"125 W State St, Trenton, NJ 08608, USA",ChIJlciGxdFZwYkR1WIktFmJoYk,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
New Jersey Educational Facilities Authority,NJ,STATE,Financing authority,New Jersey,State of New Jersey,40.22022940000001,-74.7703719,"125 W State St, Trenton, NJ 08608, USA",ChIJlciGxdFZwYkR1WIktFmJoYk,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
New Jersey Infrastructure Bank,NJ,STATE,Bond bank,New Jersey,State of New Jersey,40.22022940000001,-74.7703719,"125 W State St, Trenton, NJ 08608, USA",ChIJlciGxdFZwYkR1WIktFmJoYk,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
New Mexico Finance Authority,NM,STATE,Financing authority,New Mexico,State of New Mexico,35.6822308,-105.9394865,"490 Old Santa Fe Trail, Santa Fe, NM 87501, USA",ChIJa0ByuENQGIcRsQvb-k5g2Ao,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
New Mexico Institute of Mining & Technology,NM,STATE,Public university,New Mexico,State of New Mexico,35.6822308,-105.9394865,"490 Old Santa Fe Trail, Santa Fe, NM 87501, USA",ChIJa0ByuENQGIcRsQvb-k5g2Ao,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
New York Liberty Development Corp,NY,STATE,Development corporation,New York,State of New York,40.7127753,-74.0059728,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
New York Power Authority,NY,STATE,Public utility,New York,State of New York,40.7127753,-74.0059728,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
New York State Dormitory Authority,NY,STATE,Financing authority,New York,State of New York,40.7127753,-74.0059728,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
