FIPS,City,State,Year,applicable_election_year,county_fips_int,pres_dem_two_party_share,pres_dem_vote_share,pres_rep_vote_share,pres_dem_votes,pres_rep_votes,pres_total_votes
2906652,blue springs,MO,2015,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2906652,blue springs,MO,2016,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2906652,blue springs,MO,2017,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2906652,blue springs,MO,2018,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2906652,blue springs,MO,2019,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2906652,blue springs,MO,2020,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2906652,blue springs,MO,2021,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2906652,blue springs,MO,2022,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2906652,blue springs,MO,2023,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2906652,blue springs,MO,2024,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2906652,blue springs,MO,2025,2024,29095,0.4789804509543856,0.471617568871981,0.5130104424221464,91366.0,99385.0,193729
2915670,columbia,MO,2013,2012,29019,0.5158120930473392,0.5017123718868828,0.47095263277177607,39847.0,37404.0,79422
2915670,columbia,MO,2014,2012,29019,0.5158120930473392,0.5017123718868828,0.47095263277177607,39847.0,37404.0,79422
2915670,columbia,MO,2015,2012,29019,0.5158120930473392,0.5017123718868828,0.47095263277177607,39847.0,37404.0,79422
2915670,columbia,MO,2016,2012,29019,0.5158120930473392,0.5017123718868828,0.47095263277177607,39847.0,37404.0,79422
2915670,columbia,MO,2017,2016,29019,0.5318461041060459,0.4903538894453188,0.43163065770019554,41125.0,36200.0,83868
2915670,columbia,MO,2018,2016,29019,0.5318461041060459,0.4903538894453188,0.43163065770019554,41125.0,36200.0,83868
