Issuer_Name,Issue_Date,n_CUSIPs,Self_reported_Green,Total_Face_Value,lead_CUSIP,all_CUSIPs,emma_search
City of Minneapolis MN,2019-12-05,25,Yes,114400000,60375BGP5,60375BGP5;60375BGQ3;60375BGR1;60375BGS9;60375BGT7;60375BGU4;60375BGV2;60375BGW0;60375BGX8;60375BGY6;60375BGZ3;60375BHA7;60375BHB5;60375BHC3;60375BHD1;60375BHE9;60375BHF6;60375BHG4;60375BHH2;60375BHJ8;60375BHK5;60375BHL3;60375BHM1;60375BHN9;60375BHP4,https://emma.msrb.org/Search/Search.aspx?criteria=60375BGP5
City of Mishawaka IN Sewage Works Revenue,2023-05-25,27,Yes,33775000,604832PW9,604832PW9;604832PX7;604832PY5;604832PZ2;604832QA6;604832QB4;604832QC2;604832QD0;604832QE8;604832QF5;604832QG3;604832QH1;604832QJ7;604832QK4;604832QL2;604832QM0;604832QN8;604832QQ1;604832QS7;604832QU2;604832QW8;604832QY4;604832RA5;604832RC1;604832RE7;604832RG2;604832RH0,https://emma.msrb.org/Search/Search.aspx?criteria=604832PW9
City of Mishawaka IN Waterworks Revenue,2021-05-19,31,Yes,51600000,604841DU7,604841DU7;604841DV5;604841DW3;604841DX1;604841DY9;604841DZ6;604841EA0;604841EB8;604841EC6;604841ED4;604841EE2;604841EF9;604841EG7;604841EH5;604841EJ1;604841EK8;604841EL6;604841EM4;604841EN2;604841EQ5;604841ES1;604841EU6;604841EW2;604841EY8;604841FA9;604841FE1;604841FF8;604841FG6;604841FH4;604841FJ0;604841FK7,https://emma.msrb.org/Search/Search.aspx?criteria=604841DU7
City of Norfolk VA,2013-11-07,1,No,2470000,655867SG5,655867SG5,https://emma.msrb.org/Search/Search.aspx?criteria=655867SG5
City of Olathe KS Water & Sewer System Revenue,2023-07-01,3,No,805000,679468F37,679468F37;679468G93;679468H27,https://emma.msrb.org/Search/Search.aspx?criteria=679468F37
City of Olathe KS Water & Sewer System Revenue,2023-07-11,17,No,4475000,679468F45,679468F45;679468F52;679468F60;679468F78;679468F86;679468F94;679468G28;679468G36;679468G44;679468G51;679468G69;679468G77;679468G85;679468H35;679468H43;679468H50;679468H68,https://emma.msrb.org/Search/Search.aspx?criteria=679468F45
City of Oshkosh WI Storm Water Utility Revenue,2023-05-01,1,No,80000,68825RMM9,68825RMM9,https://emma.msrb.org/Search/Search.aspx?criteria=68825RMM9
City of Portland ME General Airport Revenue,2019-12-05,30,Yes,58450000,736564DW2,736564DW2;736564DX0;736564DY8;736564DZ5;736564EA9;736564EB7;736564EC5;736564ED3;736564EE1;736564EF8;736564EG6;736564EH4;736564EJ0;736564EK7;736564EL5;736564EM3;736564EN1;736564EP6;736564EQ4;736564ER2;736564ES0;736564ET8;736564EU5;736564EV3;736564EW1;736564EX9;736564EY7;736564EZ4;736564FA8;736564FB6,https://emma.msrb.org/Search/Search.aspx?criteria=736564DW2
City of Portland OR,2016-11-29,10,Yes,16220000,736740PX3,736740PX3;736740PY1;736740PZ8;736740QA2;736740QB0;736740QC8;736740QD6;736740QE4;736740QF1;736740QG9,https://emma.msrb.org/Search/Search.aspx?criteria=736740PX3
City of Portland OR Water System Revenue,2016-12-15,25,No,168525000,736754N57,736754N57;736754NQ1;736754NR9;736754NT5;736754NU2;736754NV0;736754NW8;736754NX6;736754NY4;736754NZ1;736754PA4;736754PB2;736754PC0;736754PD8;736754PE6;736754PF3;736754PG1;736754PH9;736754PJ5;736754PK2;736754PL0;736754PM8;736754PN6;736754PP1;736754PQ9,https://emma.msrb.org/Search/Search.aspx?criteria=736754N57
City of Portland OR Water System Revenue,2022-04-07,15,No,42645000,736754SE3,736754SE3;736754SF0;736754SG8;736754SH6;736754SJ2;736754SK9;736754SL7;736754SM5;736754SN3;736754SP8;736754SQ6;736754SR4;736754SS2;736754ST0;736754SU7,https://emma.msrb.org/Search/Search.aspx?criteria=736754SE3
City of Renton WA,2013-07-01,1,No,3200000,760133SZ2,760133SZ2,https://emma.msrb.org/Search/Search.aspx?criteria=760133SZ2
City of San Francisco CA Public Utilities Commission Water Revenue,,1,Yes,3275000,79771FGL5,79771FGL5,https://emma.msrb.org/Search/Search.aspx?criteria=79771FGL5
City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,27,Yes,384585000,79765R2A6,79765R2A6;79765R2B4;79765R2C2;79765R2D0;79765R2E8;79765R2F5;79765R2G3;79765R2H1;79765R2J7;79765R2K4;79765R2L2;79765R2M0;79765R2N8;79765R2P3;79765R2Q1;79765R2R9;79765R2S7;79765R3Q0;79765R3R8;79765R3S6;79765R3T4;79765R3U1;79765R3V9;79765R3W7;79765RZ77;79765RZ85;79765RZ93,https://emma.msrb.org/Search/Search.aspx?criteria=79765R2A6
City of San Francisco CA Public Utilities Commission Water Revenue,2020-10-21,2,Yes,341435000,79771FAA5,79771FAA5;79771FAB3,https://emma.msrb.org/Search/Search.aspx?criteria=79771FAA5
City of San Francisco CA Public Utilities Commission Water Revenue,2023-08-10,20,Yes,486875000,79771FDQ7,79771FDQ7;79771FDR5;79771FDS3;79771FDT1;79771FDU8;79771FDV6;79771FDW4;79771FDX2;79771FDY0;79771FDZ7;79771FEA1;79771FEB9;79771FEC7;79771FED5;79771FEE3;79771FEF0;79771FEG8;79771FEH6;79771FEJ2;79771FEK9,https://emma.msrb.org/Search/Search.aspx?criteria=79771FDQ7
City of San Francisco CA Public Utilities Commission Water Revenue,2025-01-17,2,Yes,6730000,79771FGH4,79771FGH4;79771FGQ4,https://emma.msrb.org/Search/Search.aspx?criteria=79771FGH4
City of San Francisco CA Public Utilities Commission Water Revenue,2025-04-11,3,Yes,63180000,79771FGB7,79771FGB7;79771FGE1;79771FGP6,https://emma.msrb.org/Search/Search.aspx?criteria=79771FGB7
City of San Francisco CA Public Utilities Commission Water Revenue,2025-04-17,17,Yes,383395000,79771FFR3,79771FFR3;79771FFS1;79771FFT9;79771FFV4;79771FFW2;79771FFX0;79771FFY8;79771FFZ5;79771FGA9;79771FGC5;79771FGD3;79771FGF8;79771FGG6;79771FGJ0;79771FGK7;79771FGM3;79771FGN1,https://emma.msrb.org/Search/Search.aspx?criteria=79771FFR3
City of San Francisco CA Public Utilities Commission Water Revenue,2025-04-23,1,Yes,11380000,79771FFU6,79771FFU6,https://emma.msrb.org/Search/Search.aspx?criteria=79771FFU6
City of Santa Clara CA Sewer Revenue,2023-10-24,25,Yes,34585000,801517AB9,801517AB9;801517AC7;801517AD5;801517AE3;801517AF0;801517AG8;801517AH6;801517AJ2;801517AK9;801517AL7;801517AM5;801517AN3;801517AP8;801517AQ6;801517AR4;801517AS2;801517AT0;801517AU7;801517AV5;801517AW3;801517AX1;801517AY9;801517AZ6;801517BA0;801517BB8,https://emma.msrb.org/Search/Search.aspx?criteria=801517AB9
City of Tacoma WA Regional Water Supply System Revenue,2024-02-14,9,Yes,32350000,87354TCD5,87354TCD5;87354TCE3;87354TCF0;87354TCG8;87354TCH6;87354TCJ2;87354TCK9;87354TCL7;87354TCM5,https://emma.msrb.org/Search/Search.aspx?criteria=87354TCD5
City of Tacoma WA Water Revenue,2024-01-25,12,Yes,63800000,873547JJ3,873547JJ3;873547JK0;873547JL8;873547JM6;873547JN4;873547JP9;873547JQ7;873547JR5;873547JS3;873547JT1;873547JU8;873547JV6,https://emma.msrb.org/Search/Search.aspx?criteria=873547JJ3
City of Warren MI Water & Sewer System Revenue,2020-12-09,19,Yes,8725000,935349AA8,935349AA8;935349AB6;935349AC4;935349AD2;935349AE0;935349AF7;935349AG5;935349AH3;935349AJ9;935349AK6;935349AL4;935349AM2;935349AN0;935349AP5;935349AQ3;935349AS9;935349AU4;935349AW0;935349BA7,https://emma.msrb.org/Search/Search.aspx?criteria=935349AA8
City of Yuma AZ Water & Sewer Revenue,2021-12-28,20,Yes,71040000,988522AA6,988522AA6;988522AB4;988522AC2;988522AD0;988522AE8;988522AF5;988522AG3;988522AH1;988522AJ7;988522AK4;988522AL2;988522AM0;988522AN8;988522AP3;988522AQ1;988522AR9;988522AS7;988522AT5;988522AU2;988522AV0,https://emma.msrb.org/Search/Search.aspx?criteria=988522AA6
Denver Wastewater Management Division Department of Public Works,2018-02-22,27,No,103050000,249176CD8,249176CD8;249176CE6;249176CF3;249176CG1;249176CH9;249176CJ5;249176CK2;249176CL0;249176CM8;249176CN6;249176CP1;249176CQ9;249176CR7;249176CS5;249176CT3;249176CU0;249176CV8;249176CW6;249176CX4;249176CY2;249176CZ9;249176DA3;249176DB1;249176DC9;249176DD7;249176DE5;249176DF2,https://emma.msrb.org/Search/Search.aspx?criteria=249176CD8
Indianapolis Local Public Improvement Bond Bank,2022-02-24,22,Yes,50000000,45528U2F7,45528U2F7;45528U2G5;45528U2H3;45528U2J9;45528U2K6;45528U2L4;45528U2M2;45528U2N0;45528U2P5;45528U2Q3;45528U2R1;45528U2S9;45528U2T7;45528U2U4;45528U2V2;45528U2W0;45528U2X8;45528U2Y6;45528U2Z3;45528U3A7;45528U3B5;45528U3C3,https://emma.msrb.org/Search/Search.aspx?criteria=45528U2F7
