Issuer_Name,Issue_Date,n_CUSIPs,Self_reported_Green,Total_Face_Value,lead_CUSIP,all_CUSIPs,emma_security_details,emma_search,google_site_search
City of Bloomington IN,2021-12-21,24,No,10770000,094615AA9,094615AA9;094615AB7;094615AC5;094615AD3;094615AE1;094615AF8;094615AG6;094615AH4;094615AJ0;094615AK7;094615AL5;094615AM3;094615AN1;094615AP6;094615AQ4;094615AR2;094615AS0;094615AT8;094615AU5;094615AV3;094615AW1;094615AX9;094615AY7;094615AZ4,https://emma.msrb.org/Security/Details/094615AA9,https://emma.msrb.org/Search/Search.aspx?criteria=094615AA9,https://www.google.com/search?q=site%3Aemma.msrb.org%20094615AA9%20%22Official%20Statement%22
City of Bloomington IN Sewage Works Revenue,2020-12-23,15,Yes,24445000,094725LV8,094725LV8;094725LW6;094725LX4;094725LY2;094725LZ9;094725MA3;094725MB1;094725MC9;094725MD7;094725ME5;094725MF2;094725MG0;094725MH8;094725MJ4;094725MK1,https://emma.msrb.org/Security/Details/094725LV8,https://emma.msrb.org/Search/Search.aspx?criteria=094725LV8,https://www.google.com/search?q=site%3Aemma.msrb.org%20094725LV8%20%22Official%20Statement%22
City of Bloomington IN Sewage Works Revenue,2021-12-21,11,Yes,5705000,094725ML9,094725ML9;094725MM7;094725MN5;094725MP0;094725MQ8;094725MR6;094725MS4;094725MT2;094725MU9;094725MV7;094725MW5,https://emma.msrb.org/Security/Details/094725ML9,https://emma.msrb.org/Search/Search.aspx?criteria=094725ML9,https://www.google.com/search?q=site%3Aemma.msrb.org%20094725ML9%20%22Official%20Statement%22
City of Bloomington IN Waterworks Revenue,2022-06-23,19,Yes,15430000,094743NK3,094743NK3;094743NL1;094743NM9;094743NN7;094743NP2;094743NQ0;094743NR8;094743NS6;094743NT4;094743NU1;094743NV9;094743NW7;094743NX5;094743NY3;094743NZ0;094743PA3;094743PB1;094743PC9;094743PD7,https://emma.msrb.org/Security/Details/094743NK3,https://emma.msrb.org/Search/Search.aspx?criteria=094743NK3,https://www.google.com/search?q=site%3Aemma.msrb.org%20094743NK3%20%22Official%20Statement%22
City of Bloomington MN,2018-12-05,15,Yes,10805000,094780V42,094780V42;094780V59;094780V67;094780V75;094780V83;094780V91;094780W25;094780W33;094780W41;094780W58;094780W66;094780W74;094780W82;094780W90;094780X24,https://emma.msrb.org/Security/Details/094780V42,https://emma.msrb.org/Search/Search.aspx?criteria=094780V42,https://www.google.com/search?q=site%3Aemma.msrb.org%20094780V42%20%22Official%20Statement%22
City of Boise City ID Water Renewal Revenue,2022-06-30,14,No,34365000,09747AAA4,09747AAA4;09747AAB2;09747AAC0;09747AAD8;09747AAE6;09747AAF3;09747AAG1;09747AAH9;09747AAJ5;09747AAK2;09747AAL0;09747AAM8;09747AAN6;09747AAP1,https://emma.msrb.org/Security/Details/09747AAA4,https://emma.msrb.org/Search/Search.aspx?criteria=09747AAA4,https://www.google.com/search?q=site%3Aemma.msrb.org%2009747AAA4%20%22Official%20Statement%22
City of Boulder CO Water & Sewer Revenue,2022-06-01,20,No,41060000,10146HMC7,10146HMC7;10146HMD5;10146HME3;10146HMF0;10146HMG8;10146HMH6;10146HMJ2;10146HMK9;10146HML7;10146HMM5;10146HMN3;10146HMP8;10146HMQ6;10146HMR4;10146HMS2;10146HMT0;10146HMU7;10146HMV5;10146HMW3;10146HMX1,https://emma.msrb.org/Security/Details/10146HMC7,https://emma.msrb.org/Search/Search.aspx?criteria=10146HMC7,https://www.google.com/search?q=site%3Aemma.msrb.org%2010146HMC7%20%22Official%20Statement%22
City of Decatur IL,2016-11-09,20,Yes,22205000,243127VC8,243127VC8;243127VD6;243127VE4;243127VF1;243127VG9;243127VH7;243127VJ3;243127VK0;243127VL8;243127VM6;243127VN4;243127VP9;243127VQ7;243127VR5;243127VS3;243127VT1;243127VU8;243127VV6;243127VW4;243127VX2,https://emma.msrb.org/Security/Details/243127VC8,https://emma.msrb.org/Search/Search.aspx?criteria=243127VC8,https://www.google.com/search?q=site%3Aemma.msrb.org%20243127VC8%20%22Official%20Statement%22
City of Decatur IL,2022-04-28,14,Yes,15210000,243127XR3,243127XR3;243127XS1;243127XT9;243127XU6;243127XV4;243127XW2;243127XX0;243127XY8;243127XZ5;243127YA9;243127YB7;243127YC5;243127YD3;243127YE1,https://emma.msrb.org/Security/Details/243127XR3,https://emma.msrb.org/Search/Search.aspx?criteria=243127XR3,https://www.google.com/search?q=site%3Aemma.msrb.org%20243127XR3%20%22Official%20Statement%22
City of Elkhart IN Sewage Works Revenue,2021-07-29,18,Yes,5445000,287605FJ3,287605FJ3;287605FK0;287605FL8;287605FM6;287605FN4;287605FP9;287605FQ7;287605FR5;287605FS3;287605FT1;287605FU8;287605FV6;287605FW4;287605FX2;287605FY0;287605FZ7;287605GA1;287605GB9,https://emma.msrb.org/Security/Details/287605FJ3,https://emma.msrb.org/Search/Search.aspx?criteria=287605FJ3,https://www.google.com/search?q=site%3Aemma.msrb.org%20287605FJ3%20%22Official%20Statement%22
