year,fips7,city_name,state_dem_governor,state_dem_legislature,state_dem_trifecta,state_govt_trifecta,state_legis_control,state_rep_trifecta
2022,439370,lake havasu city,0.0,0.0,0.0,Rep,Rep,1.0
2023,439370,lake havasu city,1.0,0.0,0.0,Divided,Rep,0.0
2013,446000,mesa,0.0,0.0,0.0,Rep,Rep,1.0
2014,446000,mesa,0.0,0.0,0.0,Rep,Rep,1.0
2015,446000,mesa,0.0,0.0,0.0,Rep,Rep,1.0
2016,446000,mesa,0.0,0.0,0.0,Rep,Rep,1.0
2017,446000,mesa,0.0,0.0,0.0,Rep,Rep,1.0
2018,446000,mesa,0.0,0.0,0.0,Rep,Rep,1.0
2019,446000,mesa,0.0,0.0,0.0,Rep,Rep,1.0
2020,446000,mesa,0.0,0.0,0.0,Rep,Rep,1.0
2021,446000,mesa,0.0,0.0,0.0,Rep,Rep,1.0
2022,446000,mesa,0.0,0.0,0.0,Rep,Rep,1.0
2023,446000,mesa,1.0,0.0,0.0,Divided,Rep,0.0
2013,454050,peoria,0.0,0.0,0.0,Rep,Rep,1.0
2014,454050,peoria,0.0,0.0,0.0,Rep,Rep,1.0
2015,454050,peoria,0.0,0.0,0.0,Rep,Rep,1.0
2016,454050,peoria,0.0,0.0,0.0,Rep,Rep,1.0
2017,454050,peoria,0.0,0.0,0.0,Rep,Rep,1.0
2018,454050,peoria,0.0,0.0,0.0,Rep,Rep,1.0
2019,454050,peoria,0.0,0.0,0.0,Rep,Rep,1.0
2020,454050,peoria,0.0,0.0,0.0,Rep,Rep,1.0
2021,454050,peoria,0.0,0.0,0.0,Rep,Rep,1.0
2022,454050,peoria,0.0,0.0,0.0,Rep,Rep,1.0
2023,454050,peoria,1.0,0.0,0.0,Divided,Rep,0.0
2013,455000,phoenix,0.0,0.0,0.0,Rep,Rep,1.0
2014,455000,phoenix,0.0,0.0,0.0,Rep,Rep,1.0
2015,455000,phoenix,0.0,0.0,0.0,Rep,Rep,1.0
2016,455000,phoenix,0.0,0.0,0.0,Rep,Rep,1.0
2017,455000,phoenix,0.0,0.0,0.0,Rep,Rep,1.0
2018,455000,phoenix,0.0,0.0,0.0,Rep,Rep,1.0
2019,455000,phoenix,0.0,0.0,0.0,Rep,Rep,1.0
2020,455000,phoenix,0.0,0.0,0.0,Rep,Rep,1.0
2021,455000,phoenix,0.0,0.0,0.0,Rep,Rep,1.0
2022,455000,phoenix,0.0,0.0,0.0,Rep,Rep,1.0
2023,455000,phoenix,1.0,0.0,0.0,Divided,Rep,0.0
2013,465000,scottsdale,0.0,0.0,0.0,Rep,Rep,1.0
2014,465000,scottsdale,0.0,0.0,0.0,Rep,Rep,1.0
2015,465000,scottsdale,0.0,0.0,0.0,Rep,Rep,1.0
2016,465000,scottsdale,0.0,0.0,0.0,Rep,Rep,1.0
2017,465000,scottsdale,0.0,0.0,0.0,Rep,Rep,1.0
2018,465000,scottsdale,0.0,0.0,0.0,Rep,Rep,1.0
2019,465000,scottsdale,0.0,0.0,0.0,Rep,Rep,1.0
