year,fips7,city_name,pres_dem_two_party_share,pres_dem_vote_share,pres_rep_vote_share
2016,3231900,henderson,0.5568820574732377,0.5243092669548306,0.4171993701411447
2017,3231900,henderson,0.5568820574732377,0.5243092669548306,0.4171993701411447
2018,3231900,henderson,0.5568820574732377,0.5243092669548306,0.4171993701411447
2019,3231900,henderson,0.5568820574732377,0.5243092669548306,0.4171993701411447
2020,3231900,henderson,0.5477479198728514,0.5366375675197571,0.4430787363674885
2021,3231900,henderson,0.5477479198728514,0.5366375675197571,0.4430787363674885
2022,3231900,henderson,0.5477479198728514,0.5366375675197571,0.4430787363674885
2023,3231900,henderson,0.5477479198728514,0.5366375675197571,0.4430787363674885
2013,3240000,las vegas,0.5742891269225274,0.5641516804351915,0.4181961544582531
2014,3240000,las vegas,0.5742891269225274,0.5641516804351915,0.4181961544582531
2015,3240000,las vegas,0.5742891269225274,0.5641516804351915,0.4181961544582531
2016,3240000,las vegas,0.5568820574732377,0.5243092669548306,0.4171993701411447
2017,3240000,las vegas,0.5568820574732377,0.5243092669548306,0.4171993701411447
2018,3240000,las vegas,0.5568820574732377,0.5243092669548306,0.4171993701411447
2019,3240000,las vegas,0.5568820574732377,0.5243092669548306,0.4171993701411447
2020,3240000,las vegas,0.5477479198728514,0.5366375675197571,0.4430787363674885
2021,3240000,las vegas,0.5477479198728514,0.5366375675197571,0.4430787363674885
2022,3240000,las vegas,0.5477479198728514,0.5366375675197571,0.4430787363674885
2023,3240000,las vegas,0.5477479198728514,0.5366375675197571,0.4430787363674885
2013,3251800,north las vegas,0.5742891269225274,0.5641516804351915,0.4181961544582531
2014,3251800,north las vegas,0.5742891269225274,0.5641516804351915,0.4181961544582531
2015,3251800,north las vegas,0.5742891269225274,0.5641516804351915,0.4181961544582531
2016,3251800,north las vegas,0.5568820574732377,0.5243092669548306,0.4171993701411447
2017,3251800,north las vegas,0.5568820574732377,0.5243092669548306,0.4171993701411447
2018,3251800,north las vegas,0.5568820574732377,0.5243092669548306,0.4171993701411447
2019,3251800,north las vegas,0.5568820574732377,0.5243092669548306,0.4171993701411447
2020,3251800,north las vegas,0.5477479198728514,0.5366375675197571,0.4430787363674885
2021,3251800,north las vegas,0.5477479198728514,0.5366375675197571,0.4430787363674885
2022,3251800,north las vegas,0.5477479198728514,0.5366375675197571,0.4430787363674885
2023,3251800,north las vegas,0.5477479198728514,0.5366375675197571,0.4430787363674885
2013,3260600,reno,0.5189163611839315,0.5078864017460275,0.4708578424848952
2014,3260600,reno,0.5189163611839315,0.5078864017460275,0.4708578424848952
2015,3260600,reno,0.5189163611839315,0.5078864017460275,0.4708578424848952
2016,3260600,reno,0.5068206540125015,0.463910551715267,0.4514241885769547
2017,3260600,reno,0.5068206540125015,0.463910551715267,0.4514241885769547
2018,3260600,reno,0.5068206540125015,0.463910551715267,0.4514241885769547
2019,3260600,reno,0.5068206540125015,0.463910551715267,0.4514241885769547
2020,3260600,reno,0.5232913099446272,0.5082315959929512,0.4629895696073918
2021,3260600,reno,0.5232913099446272,0.5082315959929512,0.4629895696073918
2022,3260600,reno,0.5232913099446272,0.5082315959929512,0.4629895696073918
2023,3260600,reno,0.5232913099446272,0.5082315959929512,0.4629895696073918
2013,3268400,sparks,0.5189163611839315,0.5078864017460275,0.4708578424848952
2014,3268400,sparks,0.5189163611839315,0.5078864017460275,0.4708578424848952
2015,3268400,sparks,0.5189163611839315,0.5078864017460275,0.4708578424848952
2016,3268400,sparks,0.5068206540125015,0.463910551715267,0.4514241885769547
2017,3268400,sparks,0.5068206540125015,0.463910551715267,0.4514241885769547
2018,3268400,sparks,0.5068206540125015,0.463910551715267,0.4514241885769547
2019,3268400,sparks,0.5068206540125015,0.463910551715267,0.4514241885769547
2020,3268400,sparks,0.5232913099446272,0.5082315959929512,0.4629895696073918
2021,3268400,sparks,0.5232913099446272,0.5082315959929512,0.4629895696073918
2022,3268400,sparks,0.5232913099446272,0.5082315959929512,0.4629895696073918
2023,3268400,sparks,0.5232913099446272,0.5082315959929512,0.4629895696073918
2013,3345140,manchester,0.5057144551988689,0.4974084950795441,0.4861672954996305
2014,3345140,manchester,0.5057144551988689,0.4974084950795441,0.4861672954996305
2015,3345140,manchester,0.5057144551988689,0.4974084950795441,0.4861672954996305
2016,3345140,manchester,0.4989378863939239,0.4650279934814178,0.4670078493815285
