jurisdiction,state_abbr,state_name,jurisdiction_type,year,iecc_comm_vintage,iecc_comm_code_type,lag_model_code_yrs,no_statewide_code,home_rule,preemption_of_stricter_local,stretch_code_available,weakening_amendments,state_bps_adopted,state_bps_effective,state_bps_year_enacted,state_bps_first_compliance_year,state_bps_law_name,state_bps_law_id,state_bps_penalty_per_sqft,state_bps_penalty_per_tco2e,bps_adopted,bps_effective,bps_year_enacted,bps_first_compliance_year,years_since_bps,bps_metric,bps_covered_threshold_comm_sqft,bps_covered_threshold_public_sqft,bps_covered_threshold_mf_sqft,bps_covers_municipal,bps_ratchet,bps_penalty_per_sqft,bps_penalty_per_tco2e,bps_law_name,bps_law_id,bps_coalition_member,bps_coalition_launch_day,bps_coalition_joined_year,benchmarking_adopted,benchmarking_effective,benchmarking_year_enacted,benchmarking_first_reporting_year,years_since_benchmarking,benchmarking_threshold_sqft,audit_tuneup_req,any_policy_active,any_policy_effective
Berkeley,CA,California,city,2019,2016,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2015,2017,4,25000,1,1,1
Berkeley,CA,California,city,2020,2019,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2015,2017,5,25000,1,1,1
Berkeley,CA,California,city,2021,2019,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2015,2017,6,25000,1,1,1
Berkeley,CA,California,city,2022,2019,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2015,2017,7,25000,1,1,1
Berkeley,CA,California,city,2023,2022,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,0,2023,1,1,2015,2017,8,25000,1,1,1
Berkeley,CA,California,city,2024,2022,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,0,2023,1,1,2015,2017,9,25000,1,1,1
Berkeley,CA,California,city,2025,2022,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,0,2023,1,1,2015,2017,10,25000,1,1,1
Boston,MA,Massachusetts,city,2010,2007,ASHRAE,2,0,0,0,1,0,0,0,,,,,,,0,0,2021,2025,,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,0,0,2013,2014,,35000,1,0,0
Boston,MA,Massachusetts,city,2011,2007,ASHRAE,3,0,0,0,1,0,0,0,,,,,,,0,0,2021,2025,,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,0,0,2013,2014,,35000,1,0,0
Boston,MA,Massachusetts,city,2012,2007,ASHRAE,5,0,0,0,1,0,0,0,,,,,,,0,0,2021,2025,,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,0,0,2013,2014,,35000,1,0,0
Boston,MA,Massachusetts,city,2013,2007,ASHRAE,5,0,0,0,1,0,0,0,,,,,,,0,0,2021,2025,,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,1,0,2013,2014,0,35000,1,1,0
Boston,MA,Massachusetts,city,2014,2007,ASHRAE,6,0,0,0,1,0,0,0,,,,,,,0,0,2021,2025,,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,1,1,2013,2014,1,35000,1,1,1
Boston,MA,Massachusetts,city,2015,2007,ASHRAE,8,0,0,0,1,0,0,0,,,,,,,0,0,2021,2025,,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,1,1,2013,2014,2,35000,1,1,1
Boston,MA,Massachusetts,city,2016,2007,ASHRAE,8,0,0,0,1,0,0,0,,,,,,,0,0,2021,2025,,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,1,1,2013,2014,3,35000,1,1,1
Boston,MA,Massachusetts,city,2017,2007,ASHRAE,9,0,0,0,1,0,0,0,,,,,,,0,0,2021,2025,,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,1,1,2013,2014,4,35000,1,1,1
Boston,MA,Massachusetts,city,2018,2007,ASHRAE,9,0,0,0,1,0,0,0,,,,,,,0,0,2021,2025,,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,1,1,2013,2014,5,35000,1,1,1
Boston,MA,Massachusetts,city,2019,2007,ASHRAE,9,0,0,0,1,0,0,0,,,,,,,0,0,2021,2025,,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,1,1,2013,2014,6,35000,1,1,1
