fips7,pct_college_educated,pct_nonwhite,median_home_value
2572600,56.572679865453644,38.21143236853085,679000
2582000,33.08928223497849,48.24453575328981,305600
2404000,34.90167495081919,72.98562307971288,202900
2408775,49.264335261503014,72.7081247194503,419200
2430325,41.36238166694455,45.82854955989284,343800
2431175,53.44893131705669,67.52202387852093,472800
2467675,65.07757522604356,55.04006434124691,623800
2360545,57.67659640063201,18.241066198008205,411600
2603000,77.51065669061316,32.438469594815736,416500
2605920,21.15589004107661,36.512988621852905,115600
2621000,34.76349968931392,13.313778663272268,189400
2621020,24.656417144364763,18.001088452796367,161200
2622000,16.884439449741333,89.92033442893778,66700
2627440,56.832484998292486,40.3137789904502,319000
2629000,12.279822558791322,66.32300306609824,43300
2634000,39.29467304426406,41.805488248122124,203900
2642160,37.190537318907026,38.71996945815495,152700
2642820,35.60367236325425,42.60205025720736,227000
2646000,29.283291211093243,47.35011417343742,112200
2649000,39.08852876654165,16.500927018371815,249000
2659440,62.289613674021105,41.84606042204342,380200
2665440,16.101904526341826,77.59864439603001,100100
2669035,59.97163011808004,25.52701831906472,359800
2670040,61.39766677992977,17.034434051642467,289800
2670760,28.789927515350342,12.414757228587014,181300
2674900,37.91919339519252,74.94317211294626,212800
2676460,30.83882695863849,20.09136858475894,243400
2679000,15.38068472151252,33.08705530927754,132300
2680700,62.86496804714085,36.575656762647704,375600
2684000,19.941692745231954,37.36903628019742,169300
2686000,22.164368375967886,36.58231728887107,164900
2688940,23.41649533449312,40.266121044674975,180300
2701900,45.84728372394427,29.74601575709609,333300
2706382,35.582187351812735,25.82551715276885,303800
2706616,44.862671564483655,31.267087983505892,327100
2707966,31.609613983976693,62.051064731433414,289400
2708794,39.91497401983939,35.42255169722981,315700
2713114,24.732080409719558,24.581332153690592,268500
2717000,40.93867015668739,12.923523717328166,209800
2717288,53.11482342990062,27.88667194046468,362200
2718116,64.54539330384209,30.01273124499002,442200
2718188,71.05530518144162,17.425570827912583,601700
2735180,49.97798908258496,20.20906416204594,395900
2740166,54.499877220266846,21.235201825702465,379800
2743000,53.50273482623763,39.9538977269799,328700
2743252,62.857501884895704,17.5400250331596,430800
2751730,64.57700612678406,26.234390250006257,447600
2754880,49.12209864307651,27.242486429233416,268800
2756896,29.833267169511714,31.156581047743437,189600
2757220,62.78839991454818,21.614141414141418,357900
2758000,42.80687629526919,48.71310790593447,264900
2771428,63.5910978510664,25.469562800301794,409900
2906652,33.7472076471505,18.7091280653951,224600
2915670,55.3005125894215,26.35529277494214,248600
2924778,23.12361255514654,50.65271148427166,125200
2935000,19.47624718491705,27.07866271743933,150800
2938000,37.13164375574707,44.795220156613794,208900
2941348,48.73852708993011,20.848733878578173,291400
2964082,43.9652548048627,20.456378117617103,259700
2964550,22.757399860030464,20.99781157372781,138100
2965000,38.61718112339542,55.39497614238067,174100
2965126,38.1351544587165,13.60673923594259,237100
2970000,29.966950612111905,15.88708674566094,146400
2829700,22.931422722620265,50.259224532568524,158300
2836000,28.657851172106525,85.28945462611975,104900
3006550,37.1665582303188,16.477500789970367,285300
3032800,26.797246469377615,17.088764845212268,223700
3050200,50.29656713386147,14.023074758465437,380500
3702140,51.21749259680294,21.607342974545062,376800
3709060,28.672724945603484,52.00435462063879,167000
3710740,70.29847875356477,40.81827538883807,477400
3711800,77.42766547760603,35.346832091515466,537100
3712000,46.61593443102121,60.3034129673331,312800
3714100,40.83015060892124,46.00085441686049,288100
3719000,53.81639636958786,59.30114680352278,316600
3722920,28.45858389912706,64.96787208249279,158500
3725580,26.528247584518493,46.24325497736154,219700
3728000,39.922268620294304,61.40167293625212,197200
3728080,39.268138801261834,50.89994766423192,192900
3731400,34.38035561268209,54.369085173501574,196500
3734200,24.71353564706271,46.779217889525505,176200
3735200,27.447060148682134,41.34561278463443,213300
3755000,52.66297657137613,47.53446168453569,347000
3757500,21.87609474790482,71.16107629929967,137800
3774440,43.6195632832558,28.45817690472322,318600
3775000,35.54750452101812,55.0749085430599,187400
3807200,37.374834594039456,14.856026270795454,283800
3825700,42.389941837144,19.78730590092602,254900
3103950,32.787958115183244,32.14601490463559,211500
3119595,20.888064390652584,40.84661693991139,183700
3128000,40.87569709585138,22.027941940791173,230400
3137000,39.20783794584873,34.89199735895879,210300
3345140,32.259946047099426,27.166042229891254,304700
3350260,40.36528855990853,27.037814895044143,344900
3403580,38.38365355291247,58.708881228988474,413100
3410000,9.550184236750017,96.50691513809385,95700
3419390,21.45525556121583,98.26652535605918,282900
3421000,14.0815306307944,86.97748129583903,358400
3432250,80.98833529252192,36.382203764850054,859300
3436000,51.88627401829874,76.98220556514612,500100
3451000,16.967218442063583,90.59751752859071,312300
3456550,16.069724217611896,85.4442667884879,379800
3457000,12.644857250225982,92.29209952870825,314100
3458200,14.637237882670634,86.11342483612792,327700
3459190,22.99305658147437,91.85952389712646,351500
3474000,15.631494268284507,86.73588362667259,111200
3476070,22.50784783844576,60.31811303375222,205500
3502000,37.83138138560581,62.98860014469799,246000
3539380,36.296808150903445,68.62221742920565,197200
3563460,33.160834217037824,54.16814405228507,246700
3570500,44.008439468375094,59.99406507869478,370600
3209700,24.305142067782885,35.725935209188144,390800
3231900,35.320734744167076,40.68785114898621,427900
3240000,26.32587164937482,58.89491110128948,365300
3251800,17.849211405300167,76.45915870647143,340200
3260600,35.29931869467106,40.51154617716708,462100
3268400,25.4330242107729,45.856977551492704,423500
3601000,42.96114951356887,49.37507523171368,213400
3611000,30.02569710224166,56.4169750766206,132100
3633139,17.347282285004013,95.00828252813498,421300
3649121,34.14670912551111,84.4088605682739,446400
3650617,46.42766520462537,57.77453357747315,637000
3651000,40.21267878973853,68.83562442164174,732100
