epa,fiscal,beta,se,p,n
Consent decrees prior3yr,Charges/own-source,0.09006006027118958,0.21284712736840566,0.6722070812260597,6241
All EPA cases prior3yr,log CWSRF obligations (lag2),-0.0010531698778934663,0.0025639269659846037,0.6812453122186515,6864
Consent decrees prior3yr,Debt service burden (lag2),-0.1646214988720866,0.40869576947454517,0.6870974440529385,6843
"SDWA events (asinh, lag2)",Reserve ratio (lag2),-0.0021053895797002124,0.005400522079103067,0.6966480097432327,6867
"SDWA events (asinh, lag2)",Debt service burden (lag2),0.10608757232181465,0.28618538102101687,0.7108645001043284,6855
NPDES formal prior3yr,log CWSRF obligations (lag2),-0.0007527272132251271,0.0021502487031953175,0.7262897770251534,6864
NPDES formal prior3yr,Budget flexibility squeeze (lag2),0.07429384177417596,0.2664098648977782,0.7803442384801567,6840
All EPA cases prior3yr,Reserve ratio (lag2),0.0027384644120335595,0.01115168164156804,0.8060188669513872,6855
Overflow events (lag2),Charges/own-source,-5.895812154467243e-19,2.4576556900770745e-18,0.8104110566160444,6241
All EPA cases prior3yr,Expenditure rigidity (lag2),-0.017715300893021188,0.10585524061860647,0.8670914953749814,6843
"Water violations (asinh, lag2)",Expenditure rigidity (lag2),0.0048309139563323476,0.02933452059720092,0.869193039440341,6855
Overflow events (lag2),TEL stringency,1.3759651559298829e-19,9.582634304597817e-19,0.885824674755141,6864
Consent decrees prior3yr,Reserve ratio (lag2),0.005921521632415879,0.05624427194098823,0.9161518734816629,6855
NPDES inspections (lag2),Charges/own-source,0.0007453301974137071,0.0076053136411002985,0.9219313055996109,6241
NPDES formal prior3yr,VFI (lag2),-0.0012716697395275083,0.02936325375475223,0.9654558527131492,6855
"Water violations (asinh, lag2)",Budget flexibility squeeze (lag2),0.0012478209329774212,0.06743853099007309,0.9852375157826475,6852
"SDWA events (asinh, lag2)",Fiscal stress PCA (lag2),8.595520853503947e-05,0.00594532738116105,0.9884649002012101,6289
NPDES formal prior3yr,Reserve ratio (lag2),0.0001188143257219491,0.00833925027250461,0.9886324422719522,6855
All EPA cases prior3yr,Fiscal stress PCA (lag2),2.05394580435358e-06,0.005725930053312051,0.9997137911927642,6278
