year,fips7,city_name,epa_state_insp_rate_npdes,epa_state_response_rate_npdes,epa_state_response_rate_air,epa_state_insp_rate_npdes_norm,epa_state_response_rate_npdes_norm,epa_state_stringency_index
2020,1723074,elgin,,1.575,15.875,0.0,0.315,0.105
2021,1723074,elgin,,1.7818181818181815,,0.0,0.1979797979797979,0.3993265993265993
2022,1723074,elgin,,0.6820809248554913,35.5,0.0,0.097440132122213,0.0324800440407376
2023,1723074,elgin,,0.6793478260869565,30.666666666666668,0.0,0.2289309112567004,0.0763103037522334
2013,1724582,evanston,,,,,,
2014,1724582,evanston,,0.8536585365853658,5.0,0.0,0.0304878048780487,0.0101626016260162
2015,1724582,evanston,,0.9552238805970148,5.5,0.0,0.0833925610045012,0.0277975203348337
2016,1724582,evanston,,0.3880597014925373,18.2,0.0,0.0485074626865671,0.3137973873128236
2017,1724582,evanston,,0.3714285714285714,9.2,0.0,0.094082171127026,0.2253634654824511
2018,1724582,evanston,,0.3980582524271844,17.857142857142858,0.0,0.0398058252427184,0.0132686084142394
2019,1724582,evanston,,0.8484848484848485,11.25,0.0,0.1885521885521885,0.0628507295173961
2020,1724582,evanston,,1.575,15.875,0.0,0.315,0.105
2021,1724582,evanston,,1.7818181818181815,,0.0,0.1979797979797979,0.3993265993265993
2022,1724582,evanston,,0.6820809248554913,35.5,0.0,0.097440132122213,0.0324800440407376
2023,1724582,evanston,,0.6793478260869565,30.666666666666668,0.0,0.2289309112567004,0.0763103037522334
2013,1735411,hoffman estates,,,,,,
2014,1735411,hoffman estates,,0.8536585365853658,5.0,0.0,0.0304878048780487,0.0101626016260162
2015,1735411,hoffman estates,,0.9552238805970148,5.5,0.0,0.0833925610045012,0.0277975203348337
2016,1735411,hoffman estates,,0.3880597014925373,18.2,0.0,0.0485074626865671,0.3137973873128236
2017,1735411,hoffman estates,,0.3714285714285714,9.2,0.0,0.094082171127026,0.2253634654824511
2018,1735411,hoffman estates,,0.3980582524271844,17.857142857142858,0.0,0.0398058252427184,0.0132686084142394
2019,1735411,hoffman estates,,0.8484848484848485,11.25,0.0,0.1885521885521885,0.0628507295173961
2020,1735411,hoffman estates,,1.575,15.875,0.0,0.315,0.105
2021,1735411,hoffman estates,,1.7818181818181815,,0.0,0.1979797979797979,0.3993265993265993
2022,1735411,hoffman estates,,0.6820809248554913,35.5,0.0,0.097440132122213,0.0324800440407376
2023,1735411,hoffman estates,,0.6793478260869565,30.666666666666668,0.0,0.2289309112567004,0.0763103037522334
2013,1738570,joliet,,,,,,
2014,1738570,joliet,,0.8536585365853658,5.0,0.0,0.0304878048780487,0.0101626016260162
2015,1738570,joliet,,0.9552238805970148,5.5,0.0,0.0833925610045012,0.0277975203348337
2016,1738570,joliet,,0.3880597014925373,18.2,0.0,0.0485074626865671,0.3137973873128236
2017,1738570,joliet,,0.3714285714285714,9.2,0.0,0.094082171127026,0.2253634654824511
2018,1738570,joliet,,0.3980582524271844,17.857142857142858,0.0,0.0398058252427184,0.0132686084142394
2019,1738570,joliet,,0.8484848484848485,11.25,0.0,0.1885521885521885,0.0628507295173961
2020,1738570,joliet,,1.575,15.875,0.0,0.315,0.105
2021,1738570,joliet,,1.7818181818181815,,0.0,0.1979797979797979,0.3993265993265993
2022,1738570,joliet,,0.6820809248554913,35.5,0.0,0.097440132122213,0.0324800440407376
2023,1738570,joliet,,0.6793478260869565,30.666666666666668,0.0,0.2289309112567004,0.0763103037522334
2013,1751089,mount prospect,,,,,,
2014,1751089,mount prospect,,0.8536585365853658,5.0,0.0,0.0304878048780487,0.0101626016260162
2015,1751089,mount prospect,,0.9552238805970148,5.5,0.0,0.0833925610045012,0.0277975203348337
2016,1751089,mount prospect,,0.3880597014925373,18.2,0.0,0.0485074626865671,0.3137973873128236
2017,1751089,mount prospect,,0.3714285714285714,9.2,0.0,0.094082171127026,0.2253634654824511
2018,1751089,mount prospect,,0.3980582524271844,17.857142857142858,0.0,0.0398058252427184,0.0132686084142394
2019,1751089,mount prospect,,0.8484848484848485,11.25,0.0,0.1885521885521885,0.0628507295173961
2020,1751089,mount prospect,,1.575,15.875,0.0,0.315,0.105
2021,1751089,mount prospect,,1.7818181818181815,,0.0,0.1979797979797979,0.3993265993265993
