fips7,lat,lng,source
2659440,42.48059,-83.4754913,nominatim
2665440,42.6389216,-83.2910468,nominatim
2669035,42.6583661,-83.1499322,nominatim
2670040,42.4894801,-83.1446485,nominatim
2670760,42.4969652,-82.8890965,nominatim
2674900,42.4733689,-83.2218731,nominatim
2676460,42.5803122,-83.0302033,nominatim
2679000,42.240872,-83.2696509,nominatim
2680700,42.6055893,-83.1499304,nominatim
2686000,42.3238056,-83.4005321,nominatim
2688940,42.9132581,-85.7057035,nominatim
2701900,44.7319094,-93.21772,nominatim
2706382,45.1607987,-93.2349489,nominatim
2707966,45.1004807,-93.3443585,nominatim
2708794,44.7670567,-93.2773887,nominatim
2713114,45.1728923,-93.3023898,nominatim
2717000,46.7838287,-92.1052679,nominatim
2717288,44.818173,-93.1659179,nominatim
2718116,44.8546856,-93.470786,nominatim
2718188,44.8897027,-93.3501222,nominatim
2735180,44.650051,-93.2432791,nominatim
2740166,45.0984983,-93.4419222,nominatim
2743252,44.9405086,-93.4638936,nominatim
2751730,45.0065149,-93.46651,nominatim
2754880,44.0234387,-92.4630182,nominatim
2756896,45.574643,-94.1205808,nominatim
2771428,44.919896,-92.9339449,nominatim
2829700,30.3674198,-89.0928155,nominatim
2836000,32.2998686,-90.1830408,nominatim
2906652,39.017316,-94.282265,nominatim
2915670,38.951883,-92.3337366,nominatim
2924778,38.7919683,-90.3227803,nominatim
2935000,39.0924792,-94.4137923,nominatim
2938000,39.100105,-94.5781416,nominatim
2941348,38.9107156,-94.3821295,nominatim
2964082,38.7877791,-90.6747372,nominatim
2964550,39.7686055,-94.8466322,nominatim
2965126,38.791612,-90.5958468,nominatim
2970000,37.2081729,-93.2922715,nominatim
3006550,45.7874957,-108.49607,nominatim
3032800,47.5048851,-111.29189,nominatim
3050200,46.8701049,-113.995267,nominatim
3103950,41.1365122,-95.8937398,nominatim
3119595,40.924271,-98.338685,nominatim
3128000,40.8088861,-96.7077751,nominatim
3137000,41.2587459,-95.9383758,nominatim
3209700,39.1663259,-119.7670374,nominatim
3231900,36.0319602,-114.9822716,nominatim
3240000,36.1674263,-115.1484131,nominatim
3251800,36.2005191,-115.1214745,nominatim
3260600,39.5261788,-119.812658,nominatim
3268400,39.5404679,-119.7487235,nominatim
3350260,42.7656251,-71.4677032,nominatim
3403580,40.6687141,-74.1143091,nominatim
3410000,39.9448402,-75.1198911,nominatim
3419390,40.7642404,-74.215011,nominatim
3420260,40.5005351,-74.3983939,nominatim
3421000,40.6639916,-74.2107006,nominatim
3432250,40.7433066,-74.0323752,nominatim
3451000,40.735657,-74.1723667,nominatim
3456550,41.0461864,-74.3177933,nominatim
3457000,40.9167654,-74.171811,nominatim
3458200,40.5133218,-74.2724241,nominatim
3459190,40.6201412,-74.4222416,nominatim
3474000,40.2203074,-74.7659,nominatim
3476070,39.4862777,-75.0254256,nominatim
3539380,32.3140354,-106.779807,nominatim
3563460,35.3108227,-106.6847453,nominatim
3601000,42.6511674,-73.754968,nominatim
3633139,40.6736812,-73.6190736,nominatim
3649121,40.9125085,-73.8386504,nominatim
3650617,40.9115386,-73.7826363,nominatim
3663000,43.157285,-77.615214,nominatim
3665508,42.8142432,-73.9395687,nominatim
3673000,43.0481221,-76.1474244,nominatim
3675484,42.7284117,-73.6917878,nominatim
3676540,43.1009031,-75.2326641,nominatim
3681677,41.0339862,-73.7629097,nominatim
3684000,40.9312099,-73.8987469,nominatim
3709060,36.0956918,-79.4377991,nominatim
3710740,35.7882893,-78.7812081,nominatim
3711800,35.9131542,-79.05578,nominatim
3714100,35.4094178,-80.5800049,nominatim
3719000,35.996653,-78.9018053,nominatim
3722920,35.0525759,-78.878292,nominatim
3725580,35.2622654,-81.1838186,nominatim
3728080,35.613224,-77.3724593,nominatim
3731400,35.9556924,-80.0053176,nominatim
3734200,34.7509962,-77.4309829,nominatim
3735200,35.4979605,-80.6240008,nominatim
3755000,35.7803977,-78.6390989,nominatim
3757500,35.9423833,-77.7956949,nominatim
3774440,34.2352853,-77.9487284,nominatim
3775000,36.0998131,-80.2440518,nominatim
3807200,46.808327,-100.783739,nominatim
3825700,46.877229,-96.789821,nominatim
3901000,41.083064,-81.518485,nominatim
3912000,40.7985464,-81.3749508,nominatim
3918000,39.9622601,-83.0007065,nominatim
3919778,41.1362729,-81.4828123,nominatim
3921000,39.7589478,-84.1916069,nominatim
3925256,41.3673191,-82.1073583,nominatim
3940040,39.6895036,-84.1688274,nominatim
3941664,41.4819932,-81.7981908,nominatim
3944856,41.2633554,-82.1734746,nominatim
3949840,39.516644,-84.4041725,nominatim
3961000,41.3822398,-81.7355692,nominatim
3977000,41.6529143,-83.5378173,nominatim
3988000,41.1035786,-80.6520161,nominatim
4023200,35.6571367,-97.4649038,nominatim
4023950,36.3967623,-97.8791341,nominatim
4041850,34.6051975,-98.3952279,nominatim
4048350,35.4495097,-97.3967025,nominatim
4052500,35.2225717,-97.4394816,nominatim
4055000,35.4729886,-97.5170536,nominatim
4075000,36.1563122,-95.9927516,nominatim
4105350,45.4871723,-122.80378,nominatim
4115800,44.5645659,-123.2620435,nominatim
4123850,44.0505054,-123.0950506,nominatim
4134100,45.5228939,-122.989827,nominatim
4147000,42.3264181,-122.8718605,nominatim
4164900,44.9391565,-123.033121,nominatim
4169600,44.0462362,-123.0220289,nominatim
4202000,40.6022552,-75.4716115,nominatim
4206088,40.6178915,-75.3786521,nominatim
4224000,42.1294712,-80.0852695,nominatim
4232800,40.2663107,-76.8861122,nominatim
4241216,40.0379958,-76.3056707,nominatim
4261000,40.4406968,-80.0025666,nominatim
4269000,41.4086874,-75.6621294,nominatim
4419180,41.779588,-71.4366813,nominatim
4454640,41.8789531,-71.3821203,nominatim
4459000,41.8239891,-71.4128343,nominatim
4474300,41.6992717,-71.4586114,nominatim
4530850,34.851354,-82.3984882,nominatim
4550875,32.8546197,-79.9748103,nominatim
4652980,44.0806041,-103.228023,nominatim
4659020,43.5476008,-96.7293629,nominatim
