fips7,year,gravity_city_peer_all,gravity_city_peer_self,gravity_county_all,gravity_county_self,gravity_special_all,gravity_special_self,gravity_all_all,gravity_all_self
1712385,2019,0.005822066702871305,0.0053587064972236784,0.0006785431413757895,0.0,0.0014365851809384376,0.0014365851809384376,0.02417408969971397,0.01314323484239875
1712385,2020,0.007222654444682321,0.00626679337748584,0.00069470896347486,0.0,0.0014365851809384376,0.0014365851809384376,0.03249936960761177,0.019496077242856538
1712385,2021,0.009912676244783803,0.008948113888580026,0.0007920435529011795,5.882067859549201e-05,0.0014365851809384376,0.0014365851809384376,0.04102624873114852,0.025615902787904106
1712385,2022,0.020330809798370566,0.018590008652309684,0.0013554641057683084,0.000595277944603882,0.0021250194393548014,0.0020783568839017824,0.05587471534120867,0.03893991162323632
1712385,2023,0.029688983246415317,0.026658064204420597,0.0013770185352337356,0.000595277944603882,0.031034989433253585,0.030941664322347545,0.09841433621546793,0.07810196905854977
1712385,2024,0.03092989344101365,0.027351139878692938,0.001464152486554527,0.0006701652694807276,0.031059753496935155,0.030966428386029116,0.10481645641421074,0.08026844613233614
1712385,2025,0.03124546353235199,0.02766670997003128,0.0015666319519692389,0.0006701652694807277,0.032225448993503644,0.032132123882597605,0.1093379519701694,0.08289034724800018
1714351,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714351,2014,0.0,0.0,0.12085925912625625,0.0,0.0,0.0,0.1218886645257933,0.0
1714351,2015,0.0025952834211090074,0.0,0.12098093305592675,0.0,0.0,0.0,0.12488524085226657,0.00010105163013262248
1714351,2016,0.0035533255244076987,0.0009520802076717596,0.1228116129136714,0.0,0.2233220807199272,0.2233220807199272,0.3600101829675587,0.23209021485678435
1714351,2017,0.004843363528909222,0.0012858806785603712,0.12334482490742361,0.0,0.4187289013498635,0.4187289013498635,0.5604198758575244,0.4293967650507776
1714351,2018,0.004855049713161393,0.0012858806785603712,0.12335178948401468,0.0,0.4187289013498635,0.4187289013498635,0.5631421217917267,0.42978452121175986
1714351,2019,0.005191946248628655,0.001616934121901547,0.12335178948401468,0.0,0.4187289013498635,0.4187289013498635,0.5648811190494577,0.4304463732371185
1714351,2020,0.006311097734252942,0.0025017252335246135,0.1233762251164871,0.0,0.4187289013498635,0.4187289013498635,0.7179385442257676,0.43399075026355977
1714351,2021,0.0152423836714448,0.011427071840900463,0.12482485099214012,0.0014126223584646248,0.4187289013498635,0.4187289013498635,0.7323620764337203,0.4462438476718177
1714351,2022,0.035608795118116675,0.030916001751404843,0.12899722764499913,0.005555630662842743,0.5235200485845315,0.5235033243677476,0.8651389621314498,0.5770460667633684
1714351,2023,0.08061715064998523,0.040214468177583174,0.1290298084882957,0.005555630662842743,0.523703749688054,0.5236703012544862,0.9137969661331777,0.5881365496273059
1714351,2024,0.08438190650713351,0.04294371008146948,0.1290584204817607,0.005555630662842744,0.523703749688054,0.5236703012544862,0.9210257911830938,0.5917418591808967
1714351,2025,0.085909058280335,0.04447086185467096,0.13036852426562873,0.005555630662842744,0.6414083777386029,0.6413749293050351,1.0658126810441808,0.7120408448726467
1719642,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719642,2014,0.0,0.0,0.0013779743442687094,0.0,0.0,0.0,0.0025565982209766495,0.0
1719642,2015,0.00896279426865186,0.0,0.0014925779444342486,0.0,0.0,0.0,0.011892504286097366,9.039088309627725e-05
1719642,2016,0.010342214418743606,0.001374088171781989,0.005155933176129222,0.0,0.04332695895567466,0.04332695895567466,0.06373892159212716,0.04681468418082552
1719642,2017,0.01162182086293897,0.0016684304451094509,0.0059058128371148565,0.0,0.08123804804189,0.08123804804189,0.10666271209610322,0.08636880061042947
1719642,2018,0.011632777395966475,0.0016684304451094509,0.005912034421909294,0.0,0.08128541029682494,0.08123804804189,0.11296490043617499,0.08671323122841595
1719642,2019,0.011929825262229441,0.0019600000448586653,0.005912034421909294,0.0,0.08128541029682494,0.08123804804189,0.11448468579792974,0.08729202848034093
1719642,2020,0.012842225682372959,0.002675640036775006,0.0059348236493760856,0.0,0.08128541029682494,0.08123804804189,0.1395668596349856,0.09064430544234871
1719642,2021,0.01928384284887631,0.009111944256992317,0.007132644927501997,0.0011653385297925633,0.08128541029682494,0.08123804804189,0.15117182927314288,0.10016678148846285
1719642,2022,0.03520061753141451,0.02456389895432256,0.009425822487405767,0.0034316198746601667,0.10169774370334081,0.1016345764295472,0.1934823944655078,0.1408588755378522
