city_name,state_abb,utility_name,has_municipal_electric,customers,revenue_thousands,revenue_millions,large_enough_for_bonds
tampa,FL,,0,,,,0
taylor,MI,,0,,,,0
taylorsville,UT,,0,,,,0
tempe,AZ,,0,,,,0
temple,TX,,0,,,,0
terre haute,IN,,0,,,,0
thornton,CO,,0,,,,0
tinley park,IL,,0,,,,0
toledo,OH,,0,,,,0
topeka,KS,,0,,,,0
torrance,CA,,0,,,,0
tracy,CA,,0,,,,0
trenton,NJ,,0,,,,0
troy,MI,,0,,,,0
troy,NY,,0,,,,0
tucson,AZ,,0,,,,0
tulsa,OK,,0,,,,0
tuscaloosa,AL,,0,,,,0
tyler,TX,,0,,,,0
union city,CA,,0,,,,0
upland,CA,,0,,,,0
utica,NY,,0,,,,0
vacaville,CA,,0,,,,0
vallejo,CA,,0,,,,0
vancouver,WA,,0,,,,0
virginia beach,VA,,0,,,,0
vista,CA,,0,,,,0
waco,TX,,0,,,,0
waltham,MA,,0,,,,0
warren,MI,,0,,,,0
warwick,RI,,0,,,,0
washington,DC,,0,,,,0
waterbury,CT,,0,,,,0
waterloo,IA,,0,,,,0
waukegan,IL,,0,,,,0
waukesha,WI,,0,,,,0
west des moines,IA,,0,,,,0
west haven,CT,,0,,,,0
west jordan,UT,,0,,,,0
west palm beach,FL,,0,,,,0
west sacramento,CA,,0,,,,0
west valley city,UT,,0,,,,0
westland,MI,,0,,,,0
westminster,CA,,0,,,,0
westminster,CO,,0,,,,0
wheaton,IL,,0,,,,0
white plains,NY,,0,,,,0
whittier,CA,,0,,,,0
wichita,KS,,0,,,,0
wilmington,DE,,0,,,,0
wilmington,NC,,0,,,,0
winston-salem,NC,,0,,,,0
woodbury,MN,,0,,,,0
woodland,CA,,0,,,,0
worcester,MA,,0,,,,0
wyoming,MI,,0,,,,0
yakima,WA,,0,,,,0
yonkers,NY,,0,,,,0
youngstown,OH,,0,,,,0
yuma,AZ,,0,,,,0
