CUSIP,Issuer_Name,Issue_Date,primary_prospectus,bloomberg_self_reported_green,bloomberg_industry,federally_compelled,state_compelled_substantive,state_legal_compelled,voter_compelled,n_state_compulsion_hits,kw_calgreen,kw_title_24,kw_energy_code,kw_leed_required,kw_energy_star,kw_ashrae,kw_sb_32,kw_ab_32,kw_cap_and_trade,kw_state_ghg_target,kw_rps,kw_renewable_mandate,kw_clean_energy_mandate,kw_executive_order,kw_state_statute,kw_state_law_required,kw_voter_approved,kw_measure_prop,kw_rate_covenant,kw_seismic_retrofit,kw_unsafe_building,kw_required_by_law,kw_statutory_mandate
79771KAK2,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
79771KAA4,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
79771KAH9,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
79771KAM8,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
79771KAL0,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
044074DU3,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DV1,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DX7,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DZ2,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DJ8,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DK5,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DM1,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DP4,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DH2,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DL3,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DN9,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DQ2,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DR0,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DS8,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
