CUSIP,Issuer_Name,Issue_Date,Self_reported_Green,Amt_Issued,State,n_prospectuses,match_kind,prospectus_files
044074DT6,City of Asheville NC Water System Revenue,2015-06-11,Yes,1940000.0,NC,1,full,EA714162-EA560759-EA956890
044074DY5,City of Asheville NC Water System Revenue,2015-06-11,Yes,2355000.0,NC,1,full,EA714162-EA560759-EA956890
044074DW9,City of Asheville NC Water System Revenue,2015-06-11,Yes,2205000.0,NC,1,full,EA714162-EA560759-EA956890
53945CCZ1,City of Los Angeles CA Wastewater System Revenue,2015-06-30,Yes,3965000.0,CA,1,prefix+suffix,ER890479-ER695548-ER1097054
53945CDD9,City of Los Angeles CA Wastewater System Revenue,2015-06-30,Yes,4815000.0,CA,1,prefix+suffix,ER890479-ER695548-ER1097054
53945CDA5,City of Los Angeles CA Wastewater System Revenue,2015-06-30,Yes,4160000.0,CA,1,prefix+suffix,ER890479-ER695548-ER1097054
53945CDB3,City of Los Angeles CA Wastewater System Revenue,2015-06-30,Yes,4370000.0,CA,1,prefix+suffix,ER890479-ER695548-ER1097054
53945CDF4,City of Los Angeles CA Wastewater System Revenue,2015-06-30,Yes,5310000.0,CA,1,prefix+suffix,ER890479-ER695548-ER1097054
53945CDG2,City of Los Angeles CA Wastewater System Revenue,2015-06-30,Yes,5575000.0,CA,1,prefix+suffix,ER890479-ER695548-ER1097054
53945CDC1,City of Los Angeles CA Wastewater System Revenue,2015-06-30,Yes,4590000.0,CA,1,prefix+suffix,ER890479-ER695548-ER1097054
53945CDE7,City of Los Angeles CA Wastewater System Revenue,2015-06-30,Yes,5060000.0,CA,1,prefix+suffix,ER890479-ER695548-ER1097054
53945CDH0,City of Los Angeles CA Wastewater System Revenue,2015-06-30,Yes,62990000.0,CA,1,full,ER890479-ER695548-ER1097054
172217VH1,City of Cincinnati OH,2015-08-20,No,3450000.0,OH,1,full,EA740986-EA580655-EA976659
254845LC2,District of Columbia Water & Sewer Authority,2015-10-15,Yes,3060000.0,DC,1,full,ES732753-ES574207-ES970101
254845LL2,District of Columbia Water & Sewer Authority,2015-10-15,Yes,8755000.0,DC,6,full;prefix+split_suffix,ER785601-ER610965-ER1013035;ES1143696-ES894297-ES1295573;ES1311861-ES1025042-ES1426916;ES732753-ES574207-ES970101;P21554235-P21200604-P21620362;P21946866-P21486848-P21938256
254845LN8,District of Columbia Water & Sewer Authority,2015-10-15,Yes,9650000.0,DC,2,full;prefix+suffix,ES732753-ES574207-ES970101;P21946866-P21486848-P21938256
254845LR9,District of Columbia Water & Sewer Authority,2015-10-15,Yes,33385000.0,DC,2,full;prefix+suffix,ES732753-ES574207-ES970101;P21554235-P21200604-P21620362
254845LM0,District of Columbia Water & Sewer Authority,2015-10-15,Yes,9190000.0,DC,2,full;prefix+suffix,ES732753-ES574207-ES970101;P21946866-P21486848-P21938256
254845LP3,District of Columbia Water & Sewer Authority,2015-10-15,Yes,5025000.0,DC,1,full,ES732753-ES574207-ES970101
254845LQ1,District of Columbia Water & Sewer Authority,2015-10-15,Yes,5365000.0,DC,1,full,ES732753-ES574207-ES970101
254845LE8,District of Columbia Water & Sewer Authority,2015-10-15,Yes,2000000.0,DC,5,full;prefix+split_suffix,ES1143696-ES894297-ES1295573;ES1311861-ES1025042-ES1426916;ES732753-ES574207-ES970101;P21554235-P21200604-P21620362;P21946866-P21486848-P21938256
254845LF5,District of Columbia Water & Sewer Authority,2015-10-15,Yes,2000000.0,DC,1,full,ES732753-ES574207-ES970101
254845LH1,District of Columbia Water & Sewer Authority,2015-10-15,Yes,7640000.0,DC,1,full,ES732753-ES574207-ES970101
254845LD0,District of Columbia Water & Sewer Authority,2015-10-15,Yes,580000.0,DC,1,full,ES732753-ES574207-ES970101
254845LG3,District of Columbia Water & Sewer Authority,2015-10-15,Yes,7350000.0,DC,1,full,ES732753-ES574207-ES970101
254845LJ7,District of Columbia Water & Sewer Authority,2015-10-15,Yes,3000000.0,DC,1,full,ES732753-ES574207-ES970101
254845LK4,District of Columbia Water & Sewer Authority,2015-10-15,Yes,3000000.0,DC,1,full,ES732753-ES574207-ES970101
79765R2E8,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,Yes,20515000.0,CA,1,prefix+suffix,ES1078538-ES842358-ES1243371
79765RP78,City of San Francisco CA Public Utilities Commission Water Revenue,2016-12-14,Yes,8120000.0,CA,1,prefix+suffix,ES997086-ES780844-ES1182154
79772EBJ7,City & County of San Francisco CA Community Facilities District No 2014-1,2017-11-09,Yes,28500000.0,CA,1,full,EP1028838-ES833343-ES1234413
