Issuer_Name,Issue_Date,n_CUSIPs,n_CUSIPs_covered,Self_reported_Green_any,Total_Face_Value,Primary_State,n_prospectuses,prospectus_files
City of Los Angeles CA Wastewater System Revenue,2018-11-15,21,11,Yes,219790000,CA,1,ER1165936-ER911496-ER1311964
City of Los Angeles CA Wastewater System Revenue,2022-04-19,4,4,Yes,99025000,CA,1,P11591429-P11228081-P11650034
City of Los Angeles CA Wastewater System Revenue,2023-09-13,1,0,No,280000000,CA,0,
City of Los Angeles Department of Airports,,8,8,Yes,263705000,CA,2,P11836470-P11407478-P11849595;P31462694-P11410516-P11852986
City of Los Angeles Department of Airports,2022-08-24,42,41,Yes,809645000,CA,2,P11836470-P11407478-P11849595;P21608101-P21238032-P21661618
City of Los Angeles Department of Airports,2023-04-11,21,21,Yes,248010000,CA,1,P21689407-P21300130-P21731021
City of Los Angeles Department of Airports,2025-01-27,1,1,Yes,4565000,CA,1,P11836470-P11407478-P11849595
City of Los Angeles Department of Airports,2025-03-04,8,8,Yes,802730000,CA,1,P11836470-P11407478-P11849595
City of Los Angeles Department of Airports,2025-04-03,2,2,Yes,78995000,CA,2,P11836470-P11407478-P11849595;P31462694-P11410516-P11852986
City of Los Angeles Department of Airports,2025-04-10,2,2,Yes,85800000,CA,1,P11836470-P11407478-P11849595
City of Los Angeles Department of Airports,2025-04-21,1,1,Yes,46605000,CA,1,P31462694-P11410516-P11852986
City of Los Angeles Department of Airports,2025-04-22,15,15,Yes,761905000,CA,2,P21608101-P21238032-P21661618;P31462694-P11410516-P11852986
City of Los Angeles Department of Airports,2025-04-27,1,1,Yes,25000000,CA,1,P11836470-P11407478-P11849595
City of Los Angeles Department of Airports,2025-05-29,1,1,Yes,20335000,CA,1,P31462694-P11410516-P11852986
City of Los Angeles Department of Airports,2025-08-03,1,1,Yes,21770000,CA,1,P11836470-P11407478-P11849595
City of Los Angeles Department of Airports,2025-09-22,2,2,Yes,66190000,CA,2,P11836470-P11407478-P11849595;P31462694-P11410516-P11852986
City of Los Angeles Department of Airports,2025-09-25,1,1,Yes,40260000,CA,1,P31462694-P11410516-P11852986
City of Los Angeles Department of Airports,2025-10-22,1,1,Yes,22420000,CA,1,P31462694-P11410516-P11852986
City of Los Angeles Department of Airports,2025-11-07,1,1,Yes,39505000,CA,1,P11836470-P11407478-P11849595
City of Los Angeles Department of Airports Customer Facility Charge Revenue,2022-03-16,10,10,Yes,546015000,CA,1,P21555452-P21201836-P21621714
City of Madison WI,2023-10-26,10,10,Yes,42055000,WI,1,P21730348-P21329460-P21763134
City of Madison WI,2024-09-05,15,15,Yes,18205000,WI,1,P11784699-P11369650-P11807357
City of Malden MA,2018-11-28,16,16,No,7180000,MA,1,ES1213307-ES947485-ES1348269
City of Manchester NH Sewer Revenue,2021-12-23,13,13,Yes,46535000,NH,2,P11550252-P11197056-P11615130;P11932461-P11377053-P11815454
City of Manchester NH Sewer Revenue,2024-06-01,10,10,Yes,23900000,NH,2,P11550252-P11197056-P11615130;P11932461-P11377053-P11815454
City of Manchester NH Sewer Revenue,2024-10-30,15,15,Yes,81775000,NH,2,P11550252-P11197056-P11615130;P11932461-P11377053-P11815454
City of Milwaukee WI Sewerage System Revenue,2021-05-14,20,20,Yes,56435000,WI,1,P21458655-P21132163-P21544598
City of Minneapolis MN,2018-10-31,24,24,Yes,96220000,MN,2,ER1276794-ER996504-ER1399663;ES1208424-ES943762-ES1344533
City of Minneapolis MN,2019-12-05,25,25,Yes,114400000,MN,1,ER1276794-ER996504-ER1399663
City of Mishawaka IN Sewage Works Revenue,2023-05-25,27,27,Yes,33775000,IN,1,P21708810-P21314049-P21746321
City of Mishawaka IN Waterworks Revenue,2021-05-19,31,29,Yes,51600000,IN,1,P21460562-P21133535-P21546142
City of Napa CA Solid Waste Revenue,2016-10-20,11,11,Yes,12500000,CA,1,EP954217-EP740267-EP1141856
City of Naperville IL,2022-03-09,20,20,No,6830000,IL,1,P11568935-P11211286-P11631402
City of Norfolk VA,2013-11-07,1,1,No,2470000,VA,1,ER710847-ER551237-ER952297
