CUSIP,Issuer_Name,Issue_Date,primary_prospectus,n_prospectus_matches,match_kind,prospectus_total_words,green_section_chars,n_green_keywords,green_keyword_density_per_1k,n_frameworks_cited,frameworks_cited,has_SPO,spo_verifiers,bloomberg_self_reported_green,bloomberg_esg_assurance,bloomberg_esg_framework,bloomberg_project_category,bloomberg_industry,city_fips7,State
79768HEF1,San Francisco City & County Public Utilities Commission Wastewater Revenue,2018-08-09,ES1184461-ES925614-ES1326629,2,prefix+suffix,158902,6717,270,1.699,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,"Sustainable Water, Green Buildings",Water/Sewer,667000.0,CA
79768HEK0,San Francisco City & County Public Utilities Commission Wastewater Revenue,2018-08-09,ES1184461-ES925614-ES1326629,2,prefix+suffix,158902,6717,270,1.699,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,"Sustainable Water, Green Buildings",Water/Sewer,667000.0,CA
79768HEE4,San Francisco City & County Public Utilities Commission Wastewater Revenue,2018-08-09,ES1184461-ES925614-ES1326629,2,prefix+suffix,158902,6717,270,1.699,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,"Sustainable Water, Green Buildings",Water/Sewer,667000.0,CA
79772ECL1,City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26,ER1196139-ER936152-ER1337167,1,prefix+suffix,114862,536,83,0.723,0,,0,,Yes,Yes,Yes,Green Buildings,Mello-Roos,667000.0,CA
79772ECG2,City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26,ER1196139-ER936152-ER1337167,1,prefix+suffix,114862,536,83,0.723,0,,0,,Yes,Yes,Yes,Green Buildings,Mello-Roos,667000.0,CA
79772ECK3,City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26,ER1196139-ER936152-ER1337167,2,prefix+split_suffix;prefix+suffix,114862,536,83,0.723,0,,0,,Yes,Yes,Yes,Green Buildings,Mello-Roos,667000.0,CA
79772ECP2,City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26,ER1196139-ER936152-ER1337167,1,prefix+suffix,114862,536,83,0.723,0,,0,,Yes,Yes,Yes,Green Buildings,Mello-Roos,667000.0,CA
79765D2S8,City & County of San Francisco CA,2019-10-23,ES1312722-ES1025651-ES1427554,1,full,1109488,3985,98,0.088,0,,0,,Yes,No,No,"Clean Transportation, Renewable Energy",Appropriation,667000.0,CA
79768HEG9,San Francisco City & County Public Utilities Commission Wastewater Revenue,2018-08-09,ES1184461-ES925614-ES1326629,2,prefix+suffix,158902,6717,270,1.699,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,"Sustainable Water, Green Buildings",Water/Sewer,667000.0,CA
79768HES3,San Francisco City & County Public Utilities Commission Wastewater Revenue,2018-08-09,P21519443-P21175017-P21591296,6,prefix+split_suffix;prefix+suffix,159551,8000,334,2.093,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,"Sustainable Water, Green Buildings",Water/Sewer,667000.0,CA
71779QBH4,Philadelphia Authority for Industrial Development,2018-04-26,ES1143102-ES894276-ES1295551,1,full,234381,0,37,0.158,0,,0,,Yes,No,No,Sustainable Water,Appropriation,4260000.0,PA
736564EA9,City of Portland ME General Airport Revenue,2019-12-05,ER1272920-ER993617-ER1396484,1,prefix+suffix,87102,1085,44,0.505,0,,0,,Yes,No,No,Green Buildings,Airport,2360545.0,ME
