CUSIP,Issuer_Name,Issue_Date,primary_prospectus,prospectus_total_words,bloomberg_industry,bloomberg_project_category,bloomberg_self_reported_green,n_compliance_keywords,compliance_density_per_1k,compelled_by_text,compelled_by_text_strict,kw_clean_water_act,kw_safe_drinking_water,kw_cercla,kw_npdes,kw_consent_decree,kw_epa_enforcement,kw_administrative_order,kw_ms4_permit,kw_compliance_schedule,kw_court_order,kw_regulatory_mandate,kw_tmdl,kw_violation,kw_enforcement_action
094615AP6,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AT8,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AU5,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094725MP0,City of Bloomington IN Sewage Works Revenue,2021-12-21,P21520597-P21175877-P21592245,49540,Water/Sewer,Sustainable Water,Yes,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
094725MU9,City of Bloomington IN Sewage Works Revenue,2021-12-21,P21520597-P21175877-P21592245,49540,Water/Sewer,Sustainable Water,Yes,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
094725MQ8,City of Bloomington IN Sewage Works Revenue,2021-12-21,P21520597-P21175877-P21592245,49540,Water/Sewer,Sustainable Water,Yes,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
094725MT2,City of Bloomington IN Sewage Works Revenue,2021-12-21,P21520597-P21175877-P21592245,49540,Water/Sewer,Sustainable Water,Yes,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
094725MW5,City of Bloomington IN Sewage Works Revenue,2021-12-21,P21520597-P21175877-P21592245,49540,Water/Sewer,Sustainable Water,Yes,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
094725MR6,City of Bloomington IN Sewage Works Revenue,2021-12-21,P21520597-P21175877-P21592245,49540,Water/Sewer,Sustainable Water,Yes,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
094615AG6,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AV3,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AX9,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AY7,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AZ4,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AH4,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AK7,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AN1,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AQ4,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AR2,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AS0,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094615AW1,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
044074ED0,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EE8,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EF5,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EG3,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
