year,fips7,city_name,state_abb,muni_aaa_yield,c40_member,mayors_climate_signatory,iclei_member,climate_commitment_score,state_rps_active,state_rps_target_pct,state_carbon_pricing,state_carbon_price,state_climate_plan
2022,523290,fayetteville,AR,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,523290,fayetteville,AR,3.61,0,0,0,0,0,0.0,0,0.0,0
2017,535710,jonesboro,AR,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,535710,jonesboro,AR,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,535710,jonesboro,AR,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,535710,jonesboro,AR,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,535710,jonesboro,AR,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,535710,jonesboro,AR,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,535710,jonesboro,AR,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,541000,little rock,AR,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,541000,little rock,AR,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,541000,little rock,AR,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,541000,little rock,AR,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,541000,little rock,AR,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,541000,little rock,AR,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,541000,little rock,AR,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,541000,little rock,AR,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,541000,little rock,AR,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,541000,little rock,AR,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,541000,little rock,AR,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,550450,north little rock,AR,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,550450,north little rock,AR,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,550450,north little rock,AR,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,550450,north little rock,AR,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,550450,north little rock,AR,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,550450,north little rock,AR,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,550450,north little rock,AR,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,550450,north little rock,AR,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,550450,north little rock,AR,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,550450,north little rock,AR,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,550450,north little rock,AR,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,560410,rogers,AR,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,560410,rogers,AR,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,560410,rogers,AR,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,560410,rogers,AR,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,560410,rogers,AR,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,560410,rogers,AR,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,560410,rogers,AR,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,560410,rogers,AR,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,560410,rogers,AR,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,560410,rogers,AR,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,560410,rogers,AR,3.61,0,0,0,0,0,0.0,0,0.0,0
2017,600562,alameda,CA,3.0,0,0,0,0,1,60.0,1,14.75,1
2022,600562,alameda,CA,3.07,0,0,0,0,1,60.0,1,28.26,1
2013,602000,anaheim,CA,3.67,0,0,0,0,1,60.0,1,12.22,1
2014,602000,anaheim,CA,3.38,0,0,0,0,1,60.0,1,11.48,1
2015,602000,anaheim,CA,3.16,0,0,0,0,1,60.0,1,12.52,1
2016,602000,anaheim,CA,2.84,0,0,0,0,1,60.0,1,12.73,1
2017,602000,anaheim,CA,3.0,0,0,0,0,1,60.0,1,14.75,1
2018,602000,anaheim,CA,3.27,0,0,0,0,1,60.0,1,15.05,1
2019,602000,anaheim,CA,2.86,0,0,0,0,1,60.0,1,17.45,1
2020,602000,anaheim,CA,2.21,0,0,0,0,1,60.0,1,16.93,1
2021,602000,anaheim,CA,1.79,0,0,0,0,1,60.0,1,20.0,1
2022,602000,anaheim,CA,3.07,0,0,0,0,1,60.0,1,28.26,1
2023,602000,anaheim,CA,3.61,0,0,0,0,1,60.0,1,32.0,1
2013,602252,antioch,CA,3.67,0,0,0,0,1,60.0,1,12.22,1
2017,602252,antioch,CA,3.0,0,0,0,0,1,60.0,1,14.75,1
2022,602252,antioch,CA,3.07,0,0,0,0,1,60.0,1,28.26,1
2013,603526,bakersfield,CA,3.67,0,0,0,0,1,60.0,1,12.22,1
2014,603526,bakersfield,CA,3.38,0,0,0,0,1,60.0,1,11.48,1
2015,603526,bakersfield,CA,3.16,0,0,0,0,1,60.0,1,12.52,1
2016,603526,bakersfield,CA,2.84,0,0,0,0,1,60.0,1,12.73,1
2017,603526,bakersfield,CA,3.0,0,0,0,0,1,60.0,1,14.75,1
2018,603526,bakersfield,CA,3.27,0,0,0,0,1,60.0,1,15.05,1
2019,603526,bakersfield,CA,2.86,0,0,0,0,1,60.0,1,17.45,1
2020,603526,bakersfield,CA,2.21,0,0,0,0,1,60.0,1,16.93,1
2021,603526,bakersfield,CA,1.79,0,0,0,0,1,60.0,1,20.0,1
2022,603526,bakersfield,CA,3.07,0,0,0,0,1,60.0,1,28.26,1
2023,603526,bakersfield,CA,3.61,0,0,0,0,1,60.0,1,32.0,1
2013,603666,baldwin park,CA,3.67,0,0,0,0,1,60.0,1,12.22,1
2017,603666,baldwin park,CA,3.0,0,0,0,0,1,60.0,1,14.75,1
2022,603666,baldwin park,CA,3.07,0,0,0,0,1,60.0,1,28.26,1
2013,606000,berkeley,CA,3.67,0,1,1,2,1,60.0,1,12.22,1
2014,606000,berkeley,CA,3.38,0,1,1,2,1,60.0,1,11.48,1
2015,606000,berkeley,CA,3.16,0,1,1,2,1,60.0,1,12.52,1
